,x,y,type,side,board,comp_idx
0,14.5,16.5,1,0,0,[0]
1,46.61,29.28,0,0,0,"[116, 324, 435, 41, 333, 233, 151, 129, 196, 8, 258, 84]"
2,106.97,25.775,0,0,0,"[447, 283, 45, 111, 483, 314, 357, 293, 189, 101, 362, 246, 380]"
3,92.615,78.175,0,0,0,"[257, 497, 491, 70, 295, 424, 244, 467, 90, 108, 481, 81]"
4,27.295,89.96,0,0,0,"[425, 353, 379, 356, 243, 453, 272, 107, 348, 234, 231, 180, 5, 200, 371, 23, 193, 328, 155, 322, 268]"
5,36.705,137.995,0,0,0,"[292, 264, 134, 384, 397, 277, 223, 421, 37, 16, 60, 21, 83, 396]"
6,29.46,194.15,0,0,0,"[307, 26, 166, 485, 337, 255, 428, 361, 463, 374, 160, 174, 192]"
7,26.535,259.02,0,0,0,"[399, 135, 40, 175, 365, 364, 261, 276, 462, 165, 163]"
8,30.165,319.24,0,0,0,"[431, 285, 80, 49, 126, 439, 469, 316, 211, 464, 490, 75, 310, 4, 64, 12]"
9,29.345,374.09,0,0,0,"[226, 260, 102, 386, 280, 457, 391, 338, 270, 262]"
10,80.115,373.085,0,0,0,"[54, 393, 35, 494, 13, 210, 237, 415, 11, 9, 475, 77, 57, 265, 460, 103, 71, 146, 383, 350]"
11,88.44,316.63,0,0,0,"[91, 235, 14, 395, 275, 408, 183, 30, 79, 178, 181, 153, 150, 52, 448, 224, 302, 471, 137, 32, 347]"
12,84.515,262.93,0,0,0,"[432, 254, 43, 24, 489, 118, 366, 278, 130, 106, 22, 332, 96, 138, 139, 149, 274, 320, 263]"
13,94.55,224.12,0,0,0,"[358, 429, 367, 88, 171, 1, 343, 55]"
14,83.765,191.555,0,0,0,"[6, 392, 245, 28, 422, 222]"
15,86.75,134.975,0,0,0,"[214, 228, 403, 15, 473, 167, 416, 157, 325, 20]"
16,135.53,178.42,0,0,0,"[39, 300, 352, 65, 368, 437, 444, 498]"
17,173.345,204.25,0,0,0,"[501, 238, 398, 67, 95, 250, 62]"
18,220.25,197.72,0,0,0,"[459, 177, 436, 236, 124, 220, 382, 412, 256, 288, 152, 319, 48, 478, 304, 213, 132, 202, 402, 311]"
19,245.79,247.31,0,0,0,"[2, 92, 433, 115, 121, 206, 50, 176, 318, 506, 297, 27, 479, 212, 289, 327, 123]"
20,196.465,245.185,0,0,0,"[63, 465, 411, 321, 204, 44, 480, 370, 219, 271, 105, 273]"
21,143.06,257.775,0,0,0,"[287, 503, 456, 413, 17, 185, 203, 443]"
22,168.67,313.205,0,0,0,"[36, 488, 341, 312, 259]"
23,146.54,327.4,0,0,0,"[10, 127, 208, 122, 339, 128, 86, 369]"
24,136.17,373.695,0,0,0,"[113, 440, 381, 158, 241, 329, 131, 162, 375, 76, 109, 474, 119, 417, 164, 419, 420, 266, 38, 410]"
25,199.21,368.965,0,0,0,"[201, 194, 199, 340, 309, 161, 344]"
26,247.42,366.685,0,0,0,"[148, 253, 282, 308, 349, 187, 66, 227]"
27,242.95,315.7,0,0,0,"[359, 51, 56, 335, 291, 284, 251, 299, 445, 495, 3, 454, 441, 225]"
28,219.495,305.655,0,0,0,"[93, 58, 154, 78, 53, 195, 133, 496, 502, 100, 42, 188, 145, 301, 61, 207, 141, 296]"
29,305.42,357.43,0,0,0,"[427, 230, 73, 239, 172, 376, 298, 407, 18, 269]"
30,299.33,286.37,0,0,0,"[493, 82, 387, 47, 190, 186, 290]"
31,292.84,229.87,0,0,0,"[455, 326, 390, 247, 59, 487, 388, 336, 19, 468]"
32,300.155,185.92,0,0,0,"[486, 492, 31, 7, 378]"
33,306.345,133.73,0,0,0,"[144, 209, 372, 426, 173, 450, 72, 142, 482, 451, 89]"
34,253.065,132.51,0,0,0,"[477, 354, 351, 446, 461, 423, 252, 406, 476, 159]"
35,237.285,81.27,0,0,0,"[306, 313, 360, 198, 94, 505, 117, 97, 330, 499, 409, 279, 136, 430]"
36,297.195,80.635,0,0,0,"[385, 355, 69, 184, 125, 331, 452, 248, 25, 394, 504, 466, 104, 191, 112, 267, 414]"
37,286.07,26.83,0,0,0,"[46, 500, 143, 205, 68, 29, 323, 217, 98]"
38,225.19,25.68,0,0,0,"[221, 242, 229, 458, 405, 74, 400, 342]"
39,216.555,30.625,0,0,0,"[156, 99, 179, 404]"
40,176.695,48.66,0,0,0,"[346, 305, 472, 110, 449, 168, 401, 286]"
41,193.86,106.71,0,0,0,"[147, 85, 315, 169, 484, 182, 218, 317, 303, 363]"
42,146.775,119.515,0,0,0,"[170, 389, 87, 140, 434, 418, 442, 34, 377, 216]"
43,183.88,159.01,0,0,0,"[232, 345, 470, 249, 240, 114, 294, 33, 215, 281, 334, 120, 197, 438, 373]"
