,tl_x,tl_y,br_x,br_y,type,time
0,19.00,9.00,24.00,14.00,1,0.25
1,49.70,21.99,57.68,34.42,0,0.992
2,187.70,261.26,189.10,264.67,0,0.048
3,11.75,99.90,19.49,102.13,0,0.173
4,148.23,265.19,149.25,268.28,0,0.032
5,320.89,130.62,321.94,137.40,0,0.071
6,310.14,170.51,322.04,172.55,0,0.243
7,130.17,190.52,135.68,199.08,0,0.472
8,148.49,26.88,153.26,41.86,0,0.715
9,183.83,63.86,192.71,64.99,0,0.1
10,294.47,162.29,304.10,165.40,0,0.299
11,157.05,3.73,170.27,11.79,0,1.066
12,36.41,116.30,37.45,130.59,0,0.149
13,110.74,39.65,121.48,43.03,0,0.363
14,30.63,270.92,41.48,278.89,0,0.865
15,204.50,199.71,208.56,210.93,0,0.456
16,54.47,191.67,60.74,192.98,0,0.082
17,124.75,227.96,137.78,229.40,0,0.188
18,150.27,70.13,158.99,77.30,0,0.625
19,110.92,160.82,111.98,164.68,0,0.041
20,256.83,99.31,257.89,100.41,0,0.012
21,359.46,247.99,361.35,252.46,0,0.084
22,240.21,50.05,241.43,51.82,0,0.022
23,119.80,175.11,128.67,183.47,0,0.742
24,168.19,199.64,170.58,204.23,0,0.11
25,309.50,26.60,324.00,33.19,0,0.956
26,423.58,163.97,428.51,165.04,0,0.053
27,180.74,270.15,184.46,272.50,0,0.087
28,240.57,220.53,243.69,222.05,0,0.047
29,228.79,55.75,230.60,56.81,0,0.019
30,260.59,260.37,261.81,262.46,0,0.025
31,140.46,60.76,146.01,63.30,0,0.141
32,155.97,191.11,158.41,192.53,0,0.035
33,360.18,180.50,362.56,187.83,0,0.174
34,0.00,102.91,7.89,108.19,0,0.417
35,230.61,120.85,231.72,122.28,0,0.016
36,90.28,180.08,92.18,188.30,0,0.156
37,400.80,10.62,403.39,19.70,0,0.235
38,350.07,50.10,351.51,57.04,0,0.1
39,290.82,0.57,295.02,11.96,0,0.478
40,439.00,185.51,440.02,188.86,0,0.034
41,164.52,44.97,178.13,46.46,0,0.203
42,200.73,190.67,201.86,193.11,0,0.028
43,0.00,71.22,4.02,76.41,0,0.209
44,30.78,130.08,32.42,131.95,0,0.031
45,265.17,77.59,279.46,89.09,0,1.643
46,310.76,250.53,319.98,258.02,0,0.691
47,437.66,166.48,443.80,171.11,0,0.284
48,380.22,40.52,387.20,41.92,0,0.098
49,357.52,159.58,362.91,171.67,0,0.652
50,38.71,161.14,40.32,163.13,0,0.032
51,286.91,265.19,291.31,266.66,0,0.065
52,50.15,0.06,58.30,3.58,0,0.287
53,60.06,30.79,64.16,37.05,0,0.257
54,110.12,0.19,111.84,1.86,0,0.029
55,24.88,74.56,27.31,75.77,0,0.029
56,70.64,60.14,110.64,108.13,0,19.196
57,67.64,115.53,71.26,122.68,0,0.259
58,100.78,240.68,111.47,244.93,0,0.454
59,10.23,190.45,15.47,191.80,0,0.071
60,350.66,189.11,352.73,191.85,0,0.057
61,45.13,129.96,46.30,134.39,0,0.052
62,71.66,202.12,72.85,203.82,0,0.02
63,310.20,205.78,312.39,214.67,0,0.195
64,300.43,250.41,306.15,252.60,0,0.125
65,332.51,265.19,334.38,278.35,0,0.246
66,147.35,42.53,151.72,52.21,0,0.423
67,294.89,122.37,306.84,124.49,0,0.253
68,40.27,210.86,43.11,215.50,0,0.132
69,410.50,170.08,412.59,178.19,0,0.169
70,190.85,20.42,194.53,26.12,0,0.21
71,330.71,132.43,332.31,140.39,0,0.127
72,367.79,135.14,371.66,137.05,0,0.074
73,321.99,249.05,324.14,250.42,0,0.029
74,123.62,231.01,129.68,242.29,0,0.684
75,47.84,17.60,56.29,21.79,0,0.354
76,440.56,90.68,445.65,96.84,0,0.314
77,59.60,37.07,60.97,45.83,0,0.12
78,84.19,163.00,87.21,167.48,0,0.135
79,135.12,63.85,145.58,69.78,0,0.62
80,199.17,265.19,200.51,270.08,0,0.066
81,321.49,18.83,327.78,25.59,0,0.425
