,tl_x,tl_y,br_x,br_y,type,time
0,12.00,6.00,17.00,11.00,2,0.25
1,5.98,82.13,7.50,88.67,0,0.099408
2,50.57,83.46,51.63,97.20,0,0.145644
3,72.25,29.31,84.54,31.94,0,0.323227
4,72.25,57.81,86.25,67.22,0,1.3174000000000001
5,25.90,29.54,32.01,30.77,0,0.075153
6,4.59,63.47,6.36,64.83,0,0.024072
7,72.25,69.93,73.54,78.70,0,0.113133
8,45.66,43.11,51.23,55.64,0,0.697921
9,30.62,110.63,32.11,124.52,0,0.206961
10,0.00,43.68,1.27,45.41,0,0.021970999999999997
11,39.83,71.55,42.22,79.61,0,0.192634
12,0.00,59.65,1.01,65.37,0,0.057772
13,44.36,60.04,49.34,68.18,0,0.40537200000000007
14,13.28,48.44,20.51,49.73,0,0.093267
15,53.57,47.60,54.59,55.05,0,0.07599
16,48.79,33.66,50.31,38.64,0,0.075696
17,46.98,40.12,61.96,41.62,0,0.22469999999999998
18,38.37,77.99,39.49,89.40,0,0.12779200000000002
19,23.36,71.23,35.94,72.40,0,0.14718599999999998
20,7.76,116.00,9.49,123.75,0,0.134075
21,0.00,101.65,14.49,102.97,0,0.19126800000000002
22,72.25,35.70,78.99,49.15,0,0.90653
23,34.27,21.13,40.53,31.09,0,0.623496
24,61.73,31.86,70.12,32.87,0,0.08473900000000001
25,49.56,78.39,64.12,80.98,0,0.377104
26,24.71,111.61,26.29,115.57,0,0.062568
27,36.90,115.00,38.31,125.46,0,0.147486
28,10.65,10.41,12.15,21.29,0,0.1632
29,0.00,72.33,1.05,82.92,0,0.111195
30,52.00,116.00,53.34,120.99,0,0.06686600000000001
31,9.67,53.50,10.68,55.10,0,0.01616
32,19.21,81.53,30.19,94.33,0,1.40544
33,72.25,91.94,73.50,95.82,0,0.048499999999999995
34,46.29,0.00,50.03,7.28,0,0.272272
35,56.97,64.00,58.74,68.77,0,0.084429
36,33.67,104.53,38.19,105.63,0,0.04971999999999999
37,22.26,60.39,23.75,63.19,0,0.04172
38,72.25,97.30,77.43,98.59,0,0.06682199999999999
39,20.92,53.08,25.17,59.12,0,0.25670000000000004
40,34.27,78.49,36.63,82.11,0,0.08543200000000001
41,0.00,116.00,6.68,124.04,0,0.5370719999999999
42,10.26,90.73,19.00,95.85,0,0.44748800000000005
