,name,tl_x,tl_y,br_x,br_y,type,center,side,board,offset_x,offset_y,time
0,top-left,5.00,16.00,10.00,21.00,2,1,0,0,0,0,0.25
1,bottom-right,214.41,465.00,219.41,470.00,2,1,0,0,0,0,0.25
2,EiOQeD,60.82,113.26,65.85,125.68,0,0,0,0,0,0,0.624726
3,lKxGsv,50.39,270.46,56.27,272.87,0,0,0,0,0,0,0.141708
4,ssRYKA,153.39,124.16,157.26,130.22,0,0,0,0,0,0,0.23452199999999998
5,4QbR8U,216.47,219.85,217.95,226.13,0,0,0,0,0,0,0.092944
6,e2RccB,170.12,250.62,175.51,256.82,0,0,0,0,0,0,0.33418
7,8vHuYt,100.32,180.31,101.37,183.56,0,0,0,0,0,0,0.034125
8,VDIi2V,78.35,108.91,93.22,112.13,0,0,0,0,0,0,0.478814
9,QrNdk8,107.57,208.75,117.29,213.02,0,0,0,0,0,0,0.41504399999999997
10,SGqrau,119.00,454.47,131.71,457.01,0,0,0,0,0,0,0.322834
11,438rbT,153.52,351.38,156.16,357.45,0,0,0,0,0,0,0.16024800000000003
12,CTeeyp,150.63,60.34,176.15,87.89,0,0,0,0,0,0,7.03076
13,zaE2oB,142.21,145.18,152.86,158.91,0,0,0,0,0,0,1.462245
14,p281VW,186.66,248.38,201.12,259.54,0,0,0,0,0,0,1.613736
15,hAT1im,10.26,70.21,18.32,78.50,0,0,0,0,0,0,0.6681739999999999
16,euXlFm,90.81,70.10,94.49,78.53,0,0,0,0,0,0,0.310224
17,4oNG2D,120.77,180.40,133.24,181.72,0,0,0,0,0,0,0.164604
18,vBnYlf,90.15,40.35,96.26,44.33,0,0,0,0,0,0,0.243178
19,XK5rlM,60.18,300.81,71.48,302.62,0,0,0,0,0,0,0.20453000000000002
20,6dV1uq,160.30,421.62,168.44,434.11,0,0,0,0,0,0,1.0166860000000002
21,MwnaV8,115.23,290.31,129.70,297.11,0,0,0,0,0,0,0.9839600000000001
22,tOcGqE,140.91,80.64,142.26,94.46,0,0,0,0,0,0,0.18657
23,FHQai6,206.91,255.54,218.75,267.52,0,0,0,0,0,0,1.418432
24,nkS6LN,77.19,92.44,81.78,101.26,0,0,0,0,0,0,0.40483800000000003
25,ky2cUI,170.25,320.53,172.97,335.16,0,0,0,0,0,0,0.39793600000000007
26,lnjvOD,104.55,123.47,118.94,137.72,0,0,0,0,0,0,2.0505750000000003
27,hohobe,180.53,110.76,182.80,123.77,0,0,0,0,0,0,0.295327
28,GuDAmN,133.45,456.00,135.78,462.38,0,0,0,0,0,0,0.148654
29,KQSvU6,79.81,404.28,85.59,407.33,0,0,0,0,0,0,0.17629
30,BkZ93F,190.46,223.79,196.38,227.62,0,0,0,0,0,0,0.226736
31,SJXGGd,210.36,200.71,213.63,203.21,0,0,0,0,0,0,0.08175
32,590n1u,87.47,205.96,90.44,214.60,0,0,0,0,0,0,0.256608
33,oM7Oea,186.23,243.10,187.24,247.89,0,0,0,0,0,0,0.048379000000000005
34,ehcArT,161.42,152.30,175.00,153.31,0,0,0,0,0,0,0.137158
35,Beb9br,170.47,450.14,172.73,460.23,0,0,0,0,0,0,0.22803399999999996
36,LN41dq,100.19,70.48,114.26,73.42,0,0,0,0,0,0,0.413658
37,F9Nk0a,90.27,250.43,91.28,251.57,0,0,0,0,0,0,0.011514
38,eR8WPD,150.84,220.90,152.12,224.90,0,0,0,0,0,0,0.0512
39,7IM4zo,30.62,220.37,32.11,224.38,0,0,0,0,0,0,0.059749
40,QQFUtd,208.65,96.86,215.58,105.10,0,0,0,0,0,0,0.571032
41,YOdy3C,116.85,427.50,118.81,433.46,0,0,0,0,0,0,0.11681599999999999
42,RMAeIt,170.28,390.67,174.14,392.20,0,0,0,0,0,0,0.059058
43,SctBXW,210.53,360.65,215.20,363.51,0,0,0,0,0,0,0.133562
44,14UI0p,30.80,240.32,45.12,241.66,0,0,0,0,0,0,0.191888
45,inZNQ5,80.54,228.42,89.86,234.34,0,0,0,0,0,0,0.551744
46,dIK31Z,62.53,402.23,65.45,406.93,0,0,0,0,0,0,0.13724
47,Khdl6T,86.38,157.28,96.12,158.63,0,0,0,0,0,0,0.13149
48,LlmkEF,0.87,130.18,7.21,131.61,0,0,0,0,0,0,0.090662
49,KMRGCZ,170.71,340.66,173.79,349.55,0,0,0,0,0,0,0.27381200000000006
50,9JvE0t,94.61,346.36,106.64,348.55,0,0,0,0,0,0,0.263457
51,sUDN6j,130.31,270.33,132.22,277.80,0,0,0,0,0,0,0.142677
52,8t8GTr,85.57,379.98,87.13,383.41,0,0,0,0,0,0,0.05350800000000001
53,xbfjep,204.54,309.84,210.50,320.05,0,0,0,0,0,0,0.6085160000000001
54,jA7DDf,160.72,250.67,166.50,252.25,0,0,0,0,0,0,0.091324
55,MJOqaD,70.91,280.23,74.69,284.05,0,0,0,0,0,0,0.144396
56,R1qPAB,186.15,45.98,187.16,47.24,0,0,0,0,0,0,0.012726
57,UOlncu,180.51,330.73,186.67,334.48,0,0,0,0,0,0,0.231
58,izT49L,126.19,335.81,128.02,338.10,0,0,0,0,0,0,0.04190700000000001
59,DsKk93,144.91,187.05,145.91,193.76,0,0,0,0,0,0,0.06709999999999999
60,jlpWPN,188.45,240.33,189.72,244.72,0,0,0,0,0,0,0.055753
61,Rzm7iq,140.61,430.48,148.07,433.27,0,0,0,1,0,0,0.208134
62,GEruq1,50.39,240.66,51.48,248.16,0,0,0,0,0,0,0.08175
63,bwQyCv,173.09,286.43,180.39,293.98,0,0,0,0,0,0,0.5511499999999999
64,uArOZ5,200.42,160.59,201.42,161.59,0,0,0,0,0,0,0.01
65,GvBuol,179.22,271.38,183.89,283.80,0,0,0,0,0,0,0.5800139999999999
66,uIiSrl,183.18,40.13,188.06,41.56,0,0,0,0,0,0,0.069784
67,XUx2ao,167.03,456.00,169.25,460.15,0,0,0,0,0,0,0.09213
68,5M0Dd9,89.87,202.78,97.34,205.00,0,0,0,0,0,0,0.165834
69,SLavWy,126.74,416.62,132.04,420.67,0,0,0,0,0,0,0.21465
70,oupWLB,170.59,100.29,172.97,104.69,0,0,0,0,0,0,0.10472
71,zUdb7V,159.12,359.99,168.57,361.60,0,0,0,0,0,0,0.152145
72,qUgLmX,160.74,290.69,162.44,295.78,0,0,0,0,0,0,0.08652999999999998
73,HPIXZy,70.26,0.10,73.17,1.10,0,0,0,0,0,0,0.0291
74,MmdK84,20.07,380.84,23.16,393.58,0,0,0,0,0,0,0.39366599999999996
75,BNY8tO,80.35,260.08,90.95,261.77,0,0,0,0,0,0,0.17913999999999997
76,BaamRI,123.03,397.45,134.45,400.88,0,0,0,0,0,0,0.391706
77,HcIfLF,150.08,260.46,164.72,261.48,0,0,0,0,0,0,0.14932800000000002
78,aL0YTr,23.53,399.28,28.40,412.96,0,0,0,0,0,0,0.666216
79,dKOCwh,131.38,164.33,132.47,165.39,0,0,0,0,0,0,0.011554000000000002
80,fV8x3f,200.20,124.25,210.31,128.74,0,0,0,0,0,0,0.45393900000000004
81,5RnEmf,137.91,183.34,152.88,185.03,0,0,0,0,0,0,0.25299299999999997
82,xFJ5U8,110.49,410.34,116.10,414.99,0,0,0,0,0,0,0.26086500000000007
83,nrqDgv,145.99,410.43,147.12,411.50,0,0,0,0,0,0,0.012091000000000001
84,7gueop,130.25,295.75,132.16,299.91,0,0,0,0,0,0,0.079456
85,LWVFqL,79.88,119.28,83.52,130.69,0,0,0,0,0,0,0.415324
86,YWUUfN,210.52,80.86,219.07,88.44,0,0,0,0,0,0,0.6480900000000002
87,whFb83,140.75,130.13,144.15,131.78,0,0,0,0,0,0,0.0561
88,dgedhf,86.29,407.25,92.34,410.37,0,0,0,0,0,0,0.18876
89,vyDQtQ,150.49,321.75,152.09,324.99,0,0,0,0,0,0,0.05184000000000001
90,dcMRfp,40.16,130.41,44.65,140.05,0,0,0,0,0,0,0.43283600000000005
91,U4TlqT,130.38,440.07,141.78,450.68,0,0,0,0,0,0,1.2095399999999998
92,WnUGQ2,160.35,100.73,161.77,102.83,0,0,0,0,0,0,0.02982
93,LTaNVJ,108.37,249.50,109.88,253.75,0,0,0,0,0,0,0.06417500000000001
94,s5HwmP,60.15,260.25,66.94,268.12,0,0,0,0,0,0,0.534373
95,Bfxn3d,198.10,138.97,204.30,141.15,0,0,0,0,0,0,0.13516000000000003
96,0iAvf5,164.77,315.24,171.08,320.16,0,0,0,0,0,0,0.31045199999999995
97,Y7Lj2c,81.58,286.82,83.33,292.81,0,0,0,0,0,0,0.104825
98,NBsmw0,10.19,270.51,11.21,284.20,0,0,0,0,0,0,0.13963799999999998
99,oBRD1p,89.88,427.70,96.86,428.92,0,0,0,0,0,0,0.08515600000000001
