,Unnamed: 0,x,y,type,side,board,comp_idx
0,0,7.5,18.5,2,0,0,[0]
1,1,216.91,467.5,2,0,0,[1]
2,2,202.385,436.305,0,0,0,"[285, 320, 371]"
3,3,201.565,391.955,0,0,0,[415]
4,4,219.01,343.76,0,0,0,"[211, 43, 405, 431, 225, 493]"
5,5,191.435,324.46,0,0,0,"[307, 236, 121, 57, 448, 172, 486, 421, 453, 425, 241, 427, 361, 277]"
6,6,217.725,308.72,0,0,0,"[249, 297, 53, 177, 191, 336]"
7,7,218.28,271.855,0,0,0,"[270, 287, 335, 310, 478, 228, 23, 333, 447]"
8,8,191.555,283.765,0,0,0,"[475, 378, 353, 355, 130, 400, 389, 328, 205, 65, 208, 176]"
9,9,167.265,293.735,0,0,0,"[200, 156, 248, 63, 189, 72, 441, 472, 108, 432]"
10,10,163.465,267.05,0,0,0,"[113, 104, 118, 210, 227, 455, 6, 77, 143, 446, 54]"
11,11,161.975,245.58,0,0,0,"[162, 499, 492, 418, 474, 426, 408]"
12,12,140.47,253.595,0,0,0,"[457, 267, 459, 311]"
13,13,118.02,235.085,0,0,0,"[265, 93, 103, 350, 238, 387]"
14,14,85.815,256.1,0,0,0,"[75, 37]"
15,15,74.035,256.88,0,0,0,"[94, 153, 395, 317]"
16,16,62.54,286.77,0,0,0,"[325, 19, 271, 3, 55]"
17,17,94.095,304.84,0,0,0,"[451, 275, 306, 454, 97, 388, 417, 424]"
18,18,107.74,297.735,0,0,0,"[150, 319, 380, 409]"
19,19,121.54,278.21,0,0,0,"[21, 141, 51, 217, 240, 286, 483]"
20,20,140.69,304.585,0,0,0,"[437, 334, 105, 186, 469, 470, 84]"
21,21,159.385,329.75,0,0,0,"[49, 25, 331, 154, 96, 344, 481, 152, 89, 501]"
22,22,134.175,338.43,0,0,0,"[203, 397, 342, 190, 477, 126, 322, 100, 309, 58, 352, 183]"
23,23,108.58,332.835,0,0,0,"[50, 356, 467, 246, 231]"
24,24,84.545,349.325,0,0,0,"[245, 392, 198, 207, 416, 235]"
25,25,59.185,337.335,0,0,0,"[222, 376]"
26,26,57.605,366.97,0,0,0,"[144, 398]"
27,27,66.18,394.08,0,0,0,"[293, 464, 46, 110, 278, 445, 507, 197, 466, 476]"
28,28,92.715,394.38,0,0,0,"[182, 29, 88, 326, 127, 52, 377]"
29,29,105.67,379.29,0,0,0,"[170, 161, 396, 119]"
30,30,133.965,375.26,0,0,0,"[213, 348, 269, 149, 412, 422, 169]"
31,31,160.005,362.195,0,0,0,"[402, 221, 71, 262, 11, 280]"
32,32,166.05,393.905,0,0,0,"[292, 42, 411, 500]"
33,33,152.829,399.21,0,1,0,"[330, 312, 406, 301, 83, 468, 339, 107, 351]"
34,34,153.27,424.71,0,0,1,"[349, 185, 513, 61, 480, 452, 373]"
35,35,171.86,434.155,0,0,0,"[232, 20]"
36,36,168.06,449.55,0,0,0,"[259, 35, 282, 67, 444, 364, 114, 237]"
37,37,138.105,447.21,0,0,0,"[204, 341, 28, 166, 516, 91, 234, 187]"
38,38,119.25,444.88,0,0,0,"[226, 10, 401, 413, 345, 124, 160, 250, 41]"
39,39,121.25,414.195,0,0,0,"[258, 69, 296, 514, 196, 82, 193, 76, 495]"
40,40,91.155,436.955,0,0,0,"[215, 120, 366, 433, 145, 99, 125, 179]"
41,41,50.855,436.41,0,0,0,"[117, 289, 219, 365, 157, 206]"
42,42,21.085,444.565,0,0,0,"[479, 315, 497, 368]"
43,43,14.235,397.56,0,0,0,"[382, 323, 146, 78, 74]"
44,44,40.305,386.685,0,0,0,"[304, 132, 509, 148, 410, 164]"
45,45,21.325,359.915,0,0,0,"[360, 173, 273]"
46,46,12.285,327.93,0,0,0,"[506, 255, 449]"
47,47,31.28,301.115,0,0,0,"[279, 116, 155]"
48,48,5.795,281.19,0,0,0,"[111, 98, 414]"
49,49,11.495,247.68,0,0,0,"[101, 298, 216, 403, 370, 491]"
50,50,41.275,250.96,0,0,0,"[357, 44, 450, 62]"
51,51,42.39,226.58,0,0,0,"[39, 471]"
52,52,34.55,195.94,0,0,0,"[438, 288, 135]"
53,53,22.72,176.04,0,0,0,"[484, 243]"
54,54,11.155,155.89,0,0,0,"[391, 128, 318, 159, 175]"
55,55,11.195,114.39,0,0,0,"[347, 233, 48]"
56,56,40.72,100.12,0,0,0,"[407, 302, 181, 511]"
57,57,63.18,95.84,0,0,0,"[281, 174, 383, 374]"
58,58,75.205,65.13,0,0,0,"[473, 171, 290, 462]"
59,59,102.815,89.155,0,0,0,"[36, 115, 381, 313, 16, 192, 247]"
60,60,81.61,112.135,0,0,0,"[8, 224, 358, 276, 85, 314, 332, 24]"
61,61,54.31,127.59,0,0,0,"[90, 2, 463, 510, 456, 180, 404]"
62,62,56.71,156.36,0,0,0,"[518, 266]"
63,63,88.79,169.97,0,0,0,"[201, 504, 47, 151, 229, 140, 7]"
64,64,64.19,195.865,0,0,0,"[517, 340, 440, 300]"
