,tl_x,tl_y,br_x,br_y,type,time
0,15.00,349.00,20.00,354.00,1,0.25
1,119.56,215.14,121.71,217.58,0,0.052
2,86.01,22.81,97.25,31.02,0,0.923
3,191.26,356.00,201.20,360.33,0,0.43
4,190.17,90.36,191.87,91.37,0,0.017
5,30.07,294.44,34.80,296.66,0,0.105
6,30.32,210.17,31.69,212.77,0,0.036
7,48.23,328.85,60.94,334.40,0,0.705
8,125.09,72.74,129.41,75.89,0,0.136
9,135.77,217.45,136.92,220.86,0,0.039
10,135.90,53.53,144.98,56.22,0,0.244
11,210.49,310.26,220.96,317.00,0,0.706
12,13.57,143.15,19.49,144.18,0,0.061
13,162.22,317.25,175.22,323.68,0,0.836
14,86.21,61.47,94.65,63.98,0,0.212
15,12.41,230.85,22.41,232.38,0,0.153
16,147.37,285.00,150.16,297.37,0,0.345
17,0.00,0.00,4.05,4.16,0,0.168
18,165.99,352.81,173.88,355.61,0,0.221
19,118.25,158.12,128.63,163.04,0,0.511
20,23.50,338.09,24.81,339.09,0,0.013
21,140.61,170.08,142.49,174.54,0,0.084
22,100.53,233.83,103.26,248.10,0,0.39
23,0.00,118.66,9.53,123.44,0,0.456
24,165.73,334.99,167.18,336.18,0,0.017
25,110.20,10.76,115.55,14.61,0,0.206
26,40.35,30.17,47.94,33.87,0,0.281
27,90.33,80.84,105.03,91.81,0,1.613
28,140.21,180.32,143.34,182.60,0,0.071
29,106.60,184.80,108.70,186.79,0,0.042
30,169.52,101.19,172.44,110.84,0,0.282
31,68.82,196.93,70.06,199.98,0,0.038
32,205.41,101.74,206.79,102.80,0,0.015
33,18.64,309.79,23.02,311.24,0,0.064
34,126.39,182.54,136.22,184.19,0,0.162
35,144.00,182.04,145.09,190.57,0,0.093
36,200.65,110.39,203.04,112.01,0,0.039
37,54.55,102.47,68.64,104.93,0,0.347
38,10.35,10.09,11.61,11.66,0,0.02
39,59.91,111.71,61.60,117.20,0,0.093
40,151.51,103.06,153.75,108.77,0,0.128
41,210.27,60.52,224.60,63.65,0,0.449
42,131.53,230.88,137.37,238.45,0,0.442
43,214.41,146.23,215.60,147.60,0,0.016
44,55.67,24.90,69.42,26.50,0,0.22
45,93.02,267.73,97.31,271.73,0,0.172
46,140.25,255.49,146.24,258.67,0,0.19
47,71.14,73.42,75.74,74.43,0,0.046
48,161.36,301.53,167.11,306.33,0,0.276
49,160.31,20.34,169.98,28.28,0,0.768
50,21.08,34.92,23.43,40.03,0,0.12
51,0.00,9.89,6.95,16.47,0,0.457
52,110.54,76.04,112.97,89.85,0,0.336
53,5.01,348.06,6.77,353.08,0,0.088
54,66.77,55.56,67.77,59.73,0,0.042
55,140.65,210.88,144.96,213.62,0,0.118
56,23.59,177.97,34.68,183.00,0,0.558
57,182.98,287.40,184.85,288.48,0,0.02
58,194.81,329.16,206.66,334.39,0,0.62
