,name,tl_x,tl_y,br_x,br_y,step,array,array_group,type,sub_type,center,side,enable,board,mfov,offset_x,offset_y,z,body_condi,lead_condi
0,name,126.0,64.58,131.0,69.58,1,0,1,7,0,0,0,1,0,0,0,0,-1,2047,2047
1,name,10.89,30.91,15.17,33.62,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
2,name,0.66,0.64,2.02,3.57,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
3,name,60.79,30.15,74.91,32.79,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
4,name,30.25,70.49,31.59,72.71,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
5,name,0.66,30.85,2.69,39.52,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
6,name,60.5,20.79,61.67,26.19,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
7,name,120.07,0.14,130.62,1.17,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
8,name,30.79,50.28,36.83,64.96,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
9,name,100.46,70.48,114.0,75.39,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
10,name,40.87,0.32,53.34,9.21,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
11,name,40.68,70.79,41.89,72.55,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
12,name,60.33,70.07,64.0,78.84,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
13,name,70.29,20.23,73.95,23.49,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
14,name,20.44,10.13,21.45,11.3,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
15,name,0.77,50.8,5.26,52.33,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
16,name,30.72,10.26,36.67,13.63,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
17,name,90.86,40.23,103.74,41.38,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
18,name,10.89,70.41,15.19,78.51,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
19,name,30.91,0.31,32.45,14.38,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
20,name,110.92,20.24,116.52,22.62,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
21,name,60.31,50.63,61.34,53.5,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
22,name,120.91,60.17,127.99,61.19,1,0,1,0,0,0,0,1,0,0,0,0,-1,2047,2047
