,name,tl_x,tl_y,br_x,br_y,type,center,side,board,offset_x,offset_y,time
0,top-right,117.66,19.00,122.66,24.00,2,1,0,0,0,0,0.25
1,bottom-left,0.00,251.00,5.00,256.00,2,1,0,0,0,0,0.25
2,yk6O8m,50.68,160.67,58.15,162.22,0,0,0,1,0,0,0.115785
3,2vUnEI,80.28,130.69,83.39,133.18,0,0,0,0,0,0,0.077439
4,V7kmqv,36.78,40.86,38.22,41.99,0,0,0,0,0,0,0.016272
5,8uK7Dt,90.33,43.13,93.03,44.28,0,0,0,0,0,0,0.03105
6,4lSsg8,0.00,95.07,6.35,104.64,0,0,0,0,0,0,0.607695
7,EXRXyJ,32.32,65.40,40.42,66.47,0,0,0,0,0,0,0.08667
8,dB8MzV,10.90,90.35,12.30,104.13,0,0,0,0,0,0,0.19291999999999998
9,P9qSZi,17.93,86.10,29.77,88.09,0,0,0,0,0,0,0.235616
10,wghdns,113.66,136.88,125.96,141.49,0,0,0,0,0,0,0.5670300000000001
11,zRdsvz,110.85,240.71,111.86,248.78,0,0,0,0,0,0,0.08150700000000001
12,3TljkK,46.00,6.97,47.10,8.75,0,0,0,0,0,0,0.01958
13,Iqbr0p,44.70,45.10,46.16,46.10,0,0,0,0,0,0,0.0146
14,bc8JYS,96.44,58.87,100.50,60.03,0,0,0,0,0,0,0.04709599999999999
15,qWZYAN,60.07,50.38,62.32,51.68,0,0,0,0,0,0,0.02925
16,2x0euI,75.04,53.61,78.18,54.61,0,0,0,0,0,0,0.031400000000000004
17,aR8wii,89.45,83.40,96.94,84.55,0,0,0,0,0,0,0.086135
18,Il5iRh,90.95,10.47,96.57,11.51,0,0,0,0,0,0,0.058448
19,ExOjVQ,78.13,81.75,82.08,87.24,0,0,0,0,0,0,0.21685500000000002
20,I9IWRr,103.95,2.60,113.69,5.72,0,0,0,0,0,0,0.30388800000000005
21,uUDeS6,84.20,40.29,91.86,41.30,0,0,0,0,0,0,0.077366
22,Gmu9bp,101.77,124.21,104.98,127.80,0,0,0,0,0,0,0.115239
23,DATqda,15.55,44.63,17.36,46.20,0,0,0,0,0,0,0.028417000000000005
24,YK2cDt,85.41,54.17,86.72,57.41,0,0,0,0,0,0,0.04244400000000001
25,4dXzXt,11.42,3.17,12.57,10.67,0,0,0,0,0,0,0.08625
26,QStShJ,0.00,60.67,14.13,61.94,0,0,0,0,0,0,0.179451
27,nQkUx9,55.98,121.91,57.72,123.75,0,0,0,0,0,0,0.032016
28,zbynVL,52.39,111.59,57.26,116.19,0,0,0,0,0,0,0.22401999999999997
29,XbQNt7,52.06,154.78,65.78,157.69,0,0,0,0,0,0,0.39925200000000005
30,rpxfbo,45.88,35.40,47.34,37.12,0,0,0,0,0,0,0.025112000000000002
