,tl_x,tl_y,br_x,br_y,type,time
0,114.04,106.04,119.04,111.04,1,0.25
1,166.05,4.24,171.74,8.77,0,0.258
2,77.99,29.27,89.36,34.69,0,0.616
3,33.77,36.90,37.90,39.04,0,0.088
4,168.00,42.12,169.01,47.58,0,0.055
5,135.41,16.73,144.46,22.36,0,0.51
6,37.92,0.00,46.18,1.22,0,0.101
7,89.63,74.36,92.30,75.39,0,0.028
8,31.97,79.14,38.98,82.02,0,0.202
9,162.15,60.56,170.77,63.08,0,0.217
10,129.08,69.81,137.24,74.32,0,0.368
11,73.00,109.04,81.92,119.31,0,0.916
12,129.49,42.46,139.81,43.54,0,0.111
13,130.68,100.65,134.14,104.08,0,0.119
14,60.07,10.13,64.94,22.88,0,0.621
15,163.98,65.29,165.06,67.63,0,0.025
16,110.28,20.83,112.44,25.75,0,0.106
17,53.54,109.04,67.67,113.84,0,0.678
18,143.21,27.37,144.33,38.57,0,0.125
19,166.86,66.51,167.93,74.11,0,0.081
20,126.38,104.68,129.04,115.05,0,0.276
21,65.24,0.00,71.53,8.61,0,0.542
22,71.28,44.03,73.97,55.87,0,0.318
23,30.75,100.20,32.16,106.49,0,0.089
24,168.00,37.33,171.52,40.44,0,0.109
25,161.75,36.26,166.70,39.76,0,0.173
26,140.37,90.90,150.99,104.12,0,1.404
27,41.10,38.02,49.46,45.58,0,0.632
28,49.29,109.04,50.31,116.14,0,0.072
29,135.01,23.17,136.02,29.15,0,0.06
30,100.29,52.14,105.25,64.34,0,0.605
31,40.20,33.45,51.25,34.78,0,0.147
32,0.00,0.00,1.01,6.65,0,0.067
33,148.32,9.39,149.50,10.81,0,0.017
34,101.14,109.04,106.61,116.58,0,0.412
35,0.00,35.33,1.63,41.01,0,0.093
36,0.00,59.37,3.64,60.53,0,0.042
37,0.00,18.30,4.31,27.95,0,0.416
38,75.28,54.81,83.11,55.81,0,0.078
39,57.87,28.88,65.19,33.27,0,0.321
40,117.25,79.10,118.52,93.39,0,0.181
41,137.39,97.28,138.44,105.77,0,0.089
42,82.20,50.84,92.98,51.93,0,0.118
43,105.17,107.46,107.94,109.02,0,0.043
44,50.70,80.17,55.36,82.23,0,0.096
45,168.00,58.29,175.49,59.55,0,0.094
46,168.00,31.94,172.06,35.43,0,0.142
47,0.00,61.47,1.32,72.43,0,0.145
48,18.79,0.00,25.57,1.32,0,0.089
49,138.24,39.17,141.67,42.20,0,0.104
50,67.17,96.11,81.68,97.54,0,0.207
51,47.56,69.29,54.51,75.61,0,0.439
52,148.48,15.35,152.63,28.98,0,0.566
53,32.58,41.73,33.85,43.65,0,0.024
54,50.26,90.19,62.10,92.00,0,0.214
55,140.10,60.81,145.24,65.06,0,0.218
56,53.39,29.74,56.29,41.14,0,0.331
57,130.20,110.56,136.81,112.55,0,0.132
58,100.61,70.90,103.18,77.92,0,0.18
59,95.33,55.04,98.89,58.30,0,0.116
60,45.22,18.50,47.73,23.13,0,0.116
61,78.19,82.28,79.19,83.46,0,0.012
62,96.48,59.12,99.90,67.14,0,0.274
63,154.05,61.16,161.07,62.18,0,0.072
64,164.50,90.72,166.36,91.72,0,0.019
65,55.77,100.44,56.85,107.20,0,0.073
66,43.36,109.04,44.39,110.22,0,0.012
67,151.44,55.49,152.47,56.49,0,0.01
68,22.85,36.71,24.14,41.70,0,0.064
69,120.43,24.00,121.94,25.89,0,0.029
70,28.02,18.85,32.74,25.51,0,0.314
71,166.36,26.10,173.41,28.48,0,0.168
72,14.05,9.13,25.48,11.63,0,0.286
73,95.29,109.04,100.96,111.95,0,0.165
74,87.35,94.80,92.79,95.84,0,0.057
75,110.75,30.30,114.04,31.30,0,0.033
76,168.00,49.38,176.75,51.33,0,0.171
77,125.13,45.46,128.47,47.13,0,0.056
78,100.57,30.30,103.17,31.90,0,0.042
79,168.00,91.84,178.92,101.53,0,1.058
80,53.47,65.98,57.20,66.98,0,0.037
81,32.82,4.53,36.12,8.95,0,0.146
82,85.02,104.05,86.02,113.13,0,0.091
83,120.29,17.75,122.32,18.75,0,0.02
84,57.08,13.15,58.36,15.98,0,0.036
