,x,y,z,type,sub_type,side,board,step,big,array,array_idx,comp_idx
0,6.5,20.5,-1,7,0,0,0,1,0,1,"[0"],"[0"]
1,17.85,15.6,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0"],"[237, 416, 372, 442, 342, 77"]
2,59.205,16.055,-1,0,0,0,0,0,0,1,"[0, 0, 0"],"[32, 2, 170"]
3,38.245,57.1,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0"],"[67, 232, 282, 134, 336, 122, 174"]
4,6.48499,63.875,-1,0,0,0,0,0,0,1,"[0, 0"],"[19, 69"]
5,16.875,110.185,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[269, 12, 290, 106, 350"]
6,18.52,147.855,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[90, 298, 410, 287"]
7,18.55,173.26,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[242, 277, 26, 444, 278"]
8,16.445,207.01,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[6, 41, 130, 215"]
9,28.435,256.065,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[135, 328, 333, 272, 334, 253, 195, 155, 417, 314"]
10,17.205,287.24,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[191, 110, 359, 163"]
11,45.555,297.9,-1,0,0,0,0,0,0,1,"[0, 0, 0"],"[399, 79, 74"]
12,71.03,293.4,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[128, 339, 168, 360"]
13,89.165,261.1,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[211, 10, 220, 418, 413"]
14,122.21,288,-1,0,0,0,0,0,1,1,"[0, 0, 0, 0"],"[419, 320, 117, 196"]
15,142.8,288,-1,0,0,0,0,0,1,1,"[0, 0, 0, 0"],"[419, 263, 436, 51"]
16,166.285,252.785,-1,0,0,0,0,0,0,1,"[0, 0, 0"],"[393, 138, 154"]
17,189.465,276.825,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0"],"[91, 244, 96, 425, 422, 136"]
18,199.935,301.515,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[164, 362, 210, 192"]
19,266.155,306.565,-1,0,0,0,0,0,0,1,"[0, 0"],"[257, 35"]
20,287.71,286.82,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0"],"[85, 364, 224, 302, 209, 358"]
21,276.36,256.68,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[72, 227, 144, 305"]
22,266.56,231.845,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[176, 105, 382, 435, 213"]
23,237.68,256.31,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0"],"[9, 188, 216, 285, 97, 378, 340, 354"]
24,212.615,237.935,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0"],"[445, 76, 376, 93, 39, 319"]
25,212.345,198.48,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0"],"[335, 267, 318, 433, 345, 111, 49, 231, 81"]
26,249.08,196.465,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0"],"[392, 126, 44, 55, 140, 36, 22, 247, 58"]
27,260.985,160.735,-1,0,0,0,0,0,0,1,"[0"],"[3"]
28,248.985,136.205,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0"],"[276, 260, 88, 440, 331, 141"]
29,228.02,161.39,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[262, 47, 311, 146, 56"]
30,187.665,166.365,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[11, 30, 338, 243"]
31,179.765,206.255,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0"],"[286, 239, 62, 198, 308, 351"]
