,name,tl_x,tl_y,br_x,br_y,step,array,type,sub_type,center,side,enable,board,offset_x,offset_y,z
0,name,1,510.94,6,515.94,1,0,7,0,0,0,1,0,0,0,0
1,name,390.24,310.14,391.46,311.15,1,0,0,0,0,0,1,0,0,0,0
2,name,492.8,33.02,493.94,35.97,1,0,0,0,0,0,1,0,0,0,0
3,name,420.64,490.57,422.47,500.35,1,0,0,0,0,0,1,0,0,0,0
4,name,110.47,100.26,114.02,113.6,1,0,0,0,0,0,1,0,0,0,0
5,name,470.05,380.42,471.11,382.01,1,0,0,0,0,0,1,0,0,0,0
6,name,330.81,220.69,342.13,225.62,1,0,0,0,0,0,1,0,0,0,0
7,name,40.6,200.41,52.29,206.33,1,0,0,0,0,0,1,0,0,0,0
8,name,610.55,20.16,612.78,31.1,1,0,0,0,0,0,1,0,0,0,0
9,name,240.32,460.51,243.9,462.44,1,0,0,0,0,0,1,0,0,0,0
10,name,90.68,310.41,93.36,312.24,1,0,0,0,0,0,1,0,0,0,0
11,name,480.41,70.71,488.73,85.06,1,0,0,0,0,0,1,0,0,0,0
12,name,310.48,380.1,323.95,384.19,1,0,0,0,0,0,1,0,0,0,0
13,name,520.31,430.32,521.31,438.34,1,0,0,0,0,0,1,0,0,0,0
14,name,420.36,240.33,431.86,252.54,1,0,0,0,0,0,1,0,0,0,0
15,name,470.81,310.23,479.26,314.33,1,0,0,0,0,0,1,0,0,0,0
16,name,245.91,235.43,250.29,248.73,1,0,0,0,0,0,1,0,0,0,0
17,name,420.25,230.24,431.83,236.02,1,0,0,0,0,0,1,0,0,0,0
18,name,220.45,110.81,221.98,120.27,1,0,0,0,0,0,1,0,0,0,0
19,name,392.97,151.71,404.68,159.08,1,0,0,0,0,0,1,0,0,0,0
20,name,520.45,40.6,521.55,46.06,1,0,0,0,0,0,1,0,0,0,0
21,name,270.09,460.21,274.6,461.92,1,0,0,0,0,0,1,0,0,0,0
22,name,424.97,463.26,425.99,476.85,1,0,0,0,0,0,1,0,0,0,0
23,name,250.5,150.18,263.45,154.03,1,0,0,0,0,0,1,0,0,0,0
24,name,450.57,300.58,461.5,309.39,1,0,0,0,0,0,1,0,0,0,0
25,name,370.87,420.89,378.89,426.95,1,0,0,0,0,0,1,0,0,0,0
26,name,440.83,340.17,452.52,341.75,1,0,0,0,0,0,1,0,0,0,0
27,name,280.9,20.24,285.9,25.49,1,0,0,0,0,0,1,0,0,0,0
28,name,498.03,32.56,508.82,33.69,1,0,0,0,0,0,1,0,0,0,0
29,name,320.08,90.19,325.85,93.6,1,0,0,0,0,0,1,0,0,0,0
30,name,440.94,110.12,445.38,111.74,1,0,0,0,0,0,1,0,0,0,0
31,name,520.85,130.23,527.07,132.58,1,0,0,0,0,0,1,0,0,0,0
32,name,282.9,207.39,292.88,208.45,1,0,0,0,0,0,1,0,0,0,0
33,name,436.77,183.21,443.25,187.39,1,0,0,0,0,0,1,0,0,0,0
34,name,160.72,270.83,164.04,272.33,1,0,0,0,0,0,1,0,0,0,0
35,name,160.46,510.4,172.65,511.4,1,0,0,0,0,0,1,0,0,0,0
36,name,230.15,410.33,236.81,411.35,1,0,0,0,0,0,1,0,0,0,0
37,name,430.33,260.43,431.45,261.59,1,0,0,0,0,0,1,0,0,0,0
38,name,50.91,110.72,61.52,113.77,1,0,0,0,0,0,1,0,0,0,0
39,name,220.79,280.39,222.77,284.02,1,0,0,0,0,0,1,0,0,0,0
40,name,230.55,180.19,243.16,183.33,1,0,0,0,0,0,1,0,0,0,0
41,name,400.37,430.43,402.15,434.98,1,0,0,0,0,0,1,0,0,0,0
42,name,510.78,300.52,514.88,305.17,1,0,0,0,0,0,1,0,0,0,0
43,name,600.54,60.24,613.21,71.91,1,0,0,0,0,0,1,0,0,0,0
44,name,0.1,150.44,9.18,158.74,1,0,0,0,0,0,1,0,0,0,0
45,name,160.45,210.89,164.12,220.53,1,0,0,0,0,0,1,0,0,0,0
46,name,290.62,470.27,303.53,481.3,1,0,0,0,0,0,1,0,0,0,0
47,name,270.85,360.52,272.99,374.56,1,0,0,0,0,0,1,0,0,0,0
48,name,450.24,180.71,465.48,210.89,1,0,0,0,0,0,1,0,0,0,0
49,name,500.29,310.54,501.39,312.2,1,0,0,0,0,0,1,0,0,0,0
50,name,60.1,80.52,61.16,88.94,1,0,0,0,0,0,1,0,0,0,0
51,name,467.93,204.51,469.22,205.87,1,0,0,0,0,0,1,0,0,0,0
52,name,110.67,430.86,112.74,436.08,1,0,0,0,0,0,1,0,0,0,0
53,name,494.63,168.2,501.21,183.17,1,0,0,0,0,0,1,0,0,0,0
54,name,380.31,190.89,381.56,202.82,1,0,0,0,0,0,1,0,0,0,0
55,name,400.26,280.63,407.17,287.79,1,0,0,0,0,0,1,0,0,0,0
56,name,300.45,490.52,306.62,499.7,1,0,0,0,0,0,1,0,0,0,0
57,name,90.82,450.71,91.83,451.81,1,0,0,0,0,0,1,0,0,0,0
58,name,39.45,391.2,41.08,392.53,1,0,0,0,0,0,1,0,0,0,0
59,name,400.52,390.07,411.65,391.57,1,0,0,0,0,0,1,0,0,0,0
60,name,290.3,180.59,292.77,188.41,1,0,0,0,0,0,1,0,0,0,0
61,name,700.61,100.55,701.62,112.43,1,0,0,0,0,0,1,0,0,0,0
62,name,350.8,460.06,363.27,469.06,1,0,0,0,0,0,1,0,0,0,0
63,name,22.32,411.84,28,421.49,1,0,0,0,0,0,1,0,0,0,0
64,name,350.49,290.77,353.82,294.76,1,0,0,0,0,0,1,0,0,0,0
