,x,y,type,side,board,comp_idx
0,13.5,16.5,1,0,0,[0]
1,19.77,19.005,0,0,0,"[19, 210, 7, 55, 114, 150, 11, 187, 31, 24, 27, 133, 95, 62, 213, 159, 188, 78, 51, 76, 198, 88, 123, 168, 4, 82, 175, 214]"
2,57.24,19.565,0,0,0,"[26, 205, 166, 3, 154, 135, 172, 146, 183, 141, 89, 15, 209, 161, 207, 208, 179, 65, 134, 68, 33]"
3,48.26,41.305,0,0,0,"[37, 153, 170, 217, 206, 173, 190, 189, 176, 101, 30, 18, 113]"
4,19.63,49.29,0,0,0,"[21, 69, 122, 80, 162, 67, 165, 109, 49, 211, 130, 195, 59, 215]"
5,18.95,85.27,0,0,0,"[177, 13, 180, 87, 105, 93, 155, 77, 202, 164, 48, 119, 46, 104]"
6,19.695,116.505,0,0,0,"[222, 10, 64, 151, 156, 86, 128, 35, 94, 44, 216, 163, 81, 99, 185, 160, 139, 197, 28, 98, 149]"
7,55.475,113.495,0,0,0,"[14, 22, 1, 147, 6, 39, 75, 38, 25, 193, 92, 129, 61, 174, 12, 54, 192, 132, 110, 36, 100, 57, 219, 181, 96, 41]"
8,90.76,110.06,0,0,0,"[115, 60, 16, 50, 56, 157, 182, 148, 125, 221, 112, 34, 158, 29, 178, 23, 137, 124, 43]"
9,106.42,119.96,0,0,0,"[171, 169, 40, 97, 144]"
10,106.27,80.48,0,0,0,"[9, 111, 17, 45, 74, 126, 73, 107, 131, 138, 66]"
11,69.33,81.85,0,0,0,"[83, 199, 2, 200, 103, 152, 63, 117, 52, 70, 167, 191, 142]"
12,46.82,64.955,0,0,0,"[118, 186, 85, 136]"
13,75.6,53.985,0,0,0,"[204, 84, 91, 203, 143, 71, 194, 58, 32, 140, 220, 127]"
14,101.735,42.46,0,0,0,"[90, 8, 120, 121, 184, 53, 5, 201, 196, 47, 218, 20]"
15,104.745,19.14,0,0,0,"[72, 108, 212, 102, 145, 42, 116, 79, 106]"
