,tl_x,tl_y,br_x,br_y,type,time
0,10.00,327.28,15.00,332.28,1,0.25
1,70.25,80.14,79.05,81.24,0,0.097
2,95.27,233.79,97.67,238.47,0,0.112
3,120.19,310.77,127.17,311.84,0,0.075
4,20.75,150.15,23.48,158.22,0,0.22
5,310.05,70.82,316.50,72.28,0,0.094
6,210.93,210.53,223.66,219.30,0,1.116
7,60.13,80.20,63.07,81.87,0,0.049
8,219.57,180.49,223.88,186.19,0,0.246
9,164.42,216.75,165.44,218.83,0,0.021
10,156.47,233.53,157.51,237.99,0,0.046
11,40.88,200.94,53.79,204.03,0,0.399
12,226.57,168.18,227.68,169.20,0,0.011
13,290.18,288.50,292.78,289.64,0,0.03
14,190.78,220.31,192.44,232.25,0,0.198
15,280.87,40.21,281.98,41.21,0,0.011
16,109.42,332.28,112.62,336.40,0,0.132
17,195.23,31.61,208.92,33.41,0,0.246
18,260.05,128.07,264.63,140.80,0,0.583
19,152.07,223.46,159.63,224.55,0,0.082
20,244.23,180.84,251.07,183.89,0,0.209
21,140.85,170.17,152.00,178.36,0,0.913
22,280.81,330.66,282.10,343.89,0,0.171
23,60.67,109.63,72.60,117.21,0,0.904
24,130.49,80.34,133.31,85.63,0,0.149
25,320.64,30.25,368.88,50.25,0,9.648
26,230.80,240.12,238.87,246.45,0,0.511
27,20.56,90.60,30.34,92.05,0,0.142
28,190.49,160.32,195.86,161.39,0,0.057
29,189.02,175.51,200.98,176.52,0,0.121
30,126.37,221.97,132.13,228.35,0,0.367
31,154.87,226.76,156.72,231.96,0,0.096
32,210.39,182.22,217.81,195.57,0,0.991
33,61.48,107.78,67.07,109.60,0,0.102
34,86.18,64.92,96.83,70.04,0,0.545
35,310.89,330.65,314.62,334.46,0,0.142
36,230.48,270.95,235.23,271.95,0,0.048
37,290.28,20.19,292.80,23.71,0,0.089
38,160.72,250.63,166.65,256.01,0,0.319
39,130.82,290.62,145.29,295.39,0,0.69
40,200.17,20.43,202.57,21.62,0,0.029
41,241.39,152.40,244.46,155.80,0,0.104
42,310.28,130.11,313.26,140.25,0,0.302
43,90.57,270.53,92.97,279.17,0,0.207
44,241.18,319.11,242.21,327.34,0,0.085
45,189.66,131.90,204.43,137.56,0,0.836
46,168.92,236.59,170.64,242.93,0,0.109
47,52.27,77.17,61.90,78.58,0,0.136
48,364.00,104.40,366.42,108.79,0,0.106
49,343.01,332.28,353.54,333.36,0,0.114
50,130.12,250.67,137.33,251.67,0,0.072
51,96.88,302.71,98.53,304.39,0,0.028
52,130.73,100.51,137.99,108.11,0,0.552
53,256.84,232.83,260.05,236.18,0,0.108
54,231.34,208.69,232.42,220.04,0,0.123
55,193.33,155.61,198.36,156.77,0,0.058
56,270.58,30.59,282.92,31.95,0,0.168
57,194.63,201.25,197.23,210.42,0,0.238
58,141.59,226.34,143.35,227.48,0,0.02
59,230.46,176.76,232.62,187.42,0,0.23
60,235.45,213.00,246.33,215.75,0,0.299
61,203.74,155.07,204.95,157.31,0,0.027
62,67.26,66.91,79.06,71.37,0,0.526
63,218.44,25.54,222.82,34.69,0,0.401
