,x,y,type,side,board,comp_idx
0,9.5,21.5,1,0,0,[0]
1,24.925,24.115,0,0,0,"[293, 259, 298, 283, 57, 101, 35, 39, 277, 122, 184, 249, 112, 142, 189, 13, 158, 139, 70, 12, 263, 44, 76, 329, 217, 169]"
2,20.335,61.42,0,0,0,"[136, 176, 43, 212, 130, 115, 103, 133, 198, 290, 157, 245, 172, 137, 258, 149]"
3,22.03,103.765,0,0,0,"[175, 162, 20, 310, 5, 216, 190, 104, 231, 97, 308, 164, 199, 61, 314, 280, 32, 87, 156, 31, 272, 131]"
4,24.86,141.55,0,0,0,"[60, 79, 22, 209, 25, 118, 80, 34, 155, 24, 147, 46, 247, 134, 48, 284, 129, 143, 218]"
5,25.12,178.065,0,0,0,"[287, 301, 17, 127, 317, 161, 145, 19, 159]"
6,71.54,182.995,0,0,0,"[326, 322, 206, 174, 74, 109, 203, 167, 261, 78, 248, 302, 18, 252, 173, 257, 197, 306, 296, 202, 320]"
7,74.58,144.66,0,0,0,"[128, 256, 282, 228, 201, 274, 151, 38, 36, 328, 9, 82, 116, 183, 47]"
8,60.79,116.375,0,0,0,"[65, 107, 66, 243, 86, 205, 23, 316, 144, 154, 71, 253, 289]"
9,65.68,69.37,0,0,0,"[234, 311, 250, 148, 160, 281, 55, 93, 177, 30, 15, 69, 230, 312, 88, 100, 275]"
10,68.415,24.36,0,0,0,"[168, 273, 315, 62, 186, 255, 227, 27, 171, 219, 241, 26, 49, 244, 269, 90, 89, 63, 221]"
11,114.825,21.315,0,0,0,"[152, 123, 220, 235, 276, 238, 215, 141, 268]"
12,154.535,26.15,0,0,0,"[153, 4, 297, 120, 102, 187, 50, 54, 195, 95, 239, 309, 111, 41, 180, 166, 240, 323, 307, 229, 125, 295, 278, 84, 68, 304]"
13,160.59,74.31,0,0,0,"[140, 254, 14, 105, 64, 226, 10, 222, 185, 33, 265, 223, 119, 98, 225]"
14,153.485,103.485,0,0,0,"[270, 146, 52, 163]"
15,162.725,141.205,0,0,0,"[182, 113, 200, 188, 1, 196, 303, 246, 237, 117, 138, 286, 285, 233, 325]"
16,161.22,182.98,0,0,0,"[37, 67, 51, 59, 181, 29, 299, 279, 75, 42, 192, 271, 135, 106, 300, 193, 266, 72, 53, 178, 81]"
17,118.365,182.395,0,0,0,"[313, 6, 92, 319, 85, 267, 83, 179, 8, 264, 318, 251, 2, 7, 91, 242, 110, 108, 207, 210, 321, 170, 305]"
18,121.755,143.815,0,0,0,"[291, 213, 191, 292, 150, 288, 16]"
19,97.345,105.35,0,0,0,"[58, 224, 11, 211, 99, 94, 324, 236, 208]"
20,114.51,70.945,0,0,0,"[327, 96, 40, 294, 124, 132, 45, 262, 114, 260, 194, 204, 73, 56, 28, 77, 121, 165, 3, 126, 232, 21, 214]"
