,x,y,z,type,sub_type,side,board,step,big,array,array_idx,comp_idx
0,12.5,9.5,-1,7,0,0,0,1,0,1,"[0"],"[0"]
1,11.405,11.085,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[69, 264, 64, 134"]
2,34.385,48.335,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[170, 28, 55, 171, 184"]
3,24.165,101.075,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0"],"[54, 92, 138, 118, 203, 202, 180"]
4,20.71,136.955,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[163, 74, 168, 66"]
5,32.385,178.545,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0"],"[75, 27, 193, 102, 191, 190, 177, 248"]
6,21.31,224.175,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0"],"[40, 236, 99, 195, 85, 166, 21, 8, 198"]
7,75.02,224.365,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0"],"[46, 36, 43, 94, 124, 234, 114, 103, 68"]
8,125.59,230.275,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[161, 41, 67, 239, 2"]
9,114.195,181.22,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[254, 81, 207, 119"]
10,83.355,179.58,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0"],"[210, 172, 147, 49, 39, 227"]
11,61.565,130.815,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0"],"[228, 16, 208, 247, 221, 245"]
12,99.38,131.32,-1,0,0,0,0,0,0,1,"[0, 0, 0"],"[131, 145, 231"]
13,144.165,134.77,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0"],"[113, 218, 127, 260, 226, 33, 83, 238"]
14,163.25,168.36,-1,0,0,0,0,0,0,1,"[0"],"[89"]
15,172.18,202.84,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0"],"[209, 100, 88, 37, 52, 82, 250"]
16,198.775,182.98,-1,0,0,0,0,0,0,1,"[0, 0, 0"],"[128, 25, 266"]
17,205.295,230.925,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[223, 153, 144, 272, 58, 277, 140, 224, 11, 230, 77, 186"]
18,252.81,223.06,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0"],"[253, 32, 97, 110, 17, 136"]
19,241.875,172.99,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0"],"[56, 271, 201, 3, 30, 222, 167, 129, 42"]
20,251.25,129.485,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[149, 108, 80, 155, 26"]
21,206.65,127.505,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0"],"[19, 237, 98, 45"]
22,185.985,97.575,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[61, 71, 246, 106, 79"]
23,203.495,82.415,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0"],"[242, 117, 265, 96, 51, 229, 38"]
24,253.235,81.275,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0"],"[151, 47, 205, 50, 162, 53, 20, 121"]
25,301.235,71.82,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0"],"[109, 152, 176, 164, 189, 182, 4, 178"]
26,303.745,130.945,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0"],"[173, 93, 48, 6, 150, 216, 232, 87"]
27,297.505,173.51,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0"],"[255, 122, 148, 270, 267"]
28,308.335,222.32,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0"],"[213, 157, 132, 251, 115, 62, 194, 174"]
29,364.92,212.355,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0"],"[63, 120, 133, 181, 95, 24, 261"]
