,name,tl_x,tl_y,br_x,br_y,step,array,type,sub_type,center,side,enable,board,offset_x,offset_y,z
0,name,234.88,2,239.88,7,1,0,7,0,0,0,1,0,0,0,0
1,name,125.82,230.84,126.84,231.86,1,0,0,0,0,0,1,0,0,0,0
2,name,57.17,74.67,59.21,76.53,1,0,0,0,0,0,1,0,0,0,0
3,name,4.1,487,6.68,493.34,1,0,0,0,0,0,1,0,0,0,0
4,name,77.28,255.4,83.64,257.44,1,0,0,0,0,0,1,0,0,0,0
5,name,100.61,480.52,104.18,481.65,1,0,0,0,0,0,1,0,0,0,0
6,name,90.26,320.69,91.26,333.67,1,0,0,0,0,0,1,0,0,0,0
7,name,134.12,355.71,137.31,362.37,1,0,0,0,0,0,1,0,0,0,0
8,name,10.08,210.48,23.82,215.05,1,0,0,0,0,0,1,0,0,0,0
9,name,238.88,303.09,240.68,314.56,1,0,0,0,0,0,1,0,0,0,0
10,name,180.65,130.58,195.15,132.14,1,0,0,0,0,0,1,0,0,0,0
11,name,216.16,251.05,218.81,252.14,1,0,0,0,0,0,1,0,0,0,0
12,name,161.51,329.59,165.72,336.7,1,0,0,0,0,0,1,0,0,0,0
13,name,220.07,460.41,221.86,468.65,1,0,0,0,0,0,1,0,0,0,0
14,name,133.55,214.76,145.77,220.69,1,0,0,0,0,0,1,0,0,0,0
15,name,99.77,227.56,108.86,234.62,1,0,0,0,0,0,1,0,0,0,0
16,name,170.11,50.93,180.2,58.12,1,0,0,0,0,0,1,0,0,0,0
17,name,90.49,300.05,91.88,301.12,1,0,0,0,0,0,1,0,0,0,0
18,name,238.88,284.92,240.84,285.92,1,0,0,0,0,0,1,0,0,0,0
19,name,207.42,179.05,214.46,190,1,0,0,0,0,0,1,0,0,0,0
20,name,110.49,400.27,115.21,401.4,1,0,0,0,0,0,1,0,0,0,0
21,name,212.56,319.67,219.95,322.53,1,0,0,0,0,0,1,0,0,0,0
22,name,186.83,183.05,188.24,185.86,1,0,0,0,0,0,1,0,0,0,0
23,name,18.79,480.4,23.46,483.12,1,0,0,0,0,0,1,0,0,0,0
24,name,60.53,430.19,62.16,431.97,1,0,0,0,0,0,1,0,0,0,0
25,name,33.32,487,35.75,488.22,1,0,0,0,0,0,1,0,0,0,0
26,name,156.32,229.18,163.68,239.58,1,0,0,0,0,0,1,0,0,0,0
27,name,28.04,112.63,30.21,113.82,1,0,0,0,0,0,1,0,0,0,0
28,name,0,79.48,6.19,89.93,1,0,0,0,0,0,1,0,0,0,0
29,name,190.46,330.54,204.38,331.55,1,0,0,0,0,0,1,0,0,0,0
30,name,170.25,20.94,171.28,23.82,1,0,0,0,0,0,1,0,0,0,0
31,name,30.93,457.05,43.3,458.96,1,0,0,0,0,0,1,0,0,0,0
32,name,206.21,57.1,215.96,59.36,1,0,0,0,0,0,1,0,0,0,0
33,name,237.02,278.9,244.78,282.1,1,0,0,0,0,0,1,0,0,0,0
34,name,0.21,270.16,1.5,274.61,1,0,0,0,0,0,1,0,0,0,0
35,name,200.08,430.79,203.7,435.4,1,0,0,0,0,0,1,0,0,0,0
36,name,0.3,250.47,1.42,251.55,1,0,0,0,0,0,1,0,0,0,0
37,name,145.88,153.76,152.44,168.69,1,0,0,0,0,0,1,0,0,0,0
38,name,0.18,290.8,3.6,295.96,1,0,0,0,0,0,1,0,0,0,0
39,name,73.29,413.27,85.07,427.64,1,0,0,0,0,0,1,0,0,0,0
40,name,163.45,466.17,170.77,468.88,1,0,0,0,0,0,1,0,0,0,0
41,name,154.82,126.23,164.82,127.37,1,0,0,0,0,0,1,0,0,0,0
42,name,100.61,40.69,102.68,44.94,1,0,0,0,0,0,1,0,0,0,0
43,name,157.36,206.45,164.16,213.35,1,0,0,0,0,0,1,0,0,0,0
44,name,148.91,113.3,155.8,118.78,1,0,0,0,0,0,1,0,0,0,0
45,name,80.94,490.21,90.39,498.23,1,0,0,0,0,0,1,0,0,0,0
46,name,204.69,261.18,210.8,270.67,1,0,0,0,0,0,1,0,0,0,0
47,name,220.28,30.49,234.37,35.45,1,0,0,0,0,0,1,0,0,0,0
48,name,225.77,297.98,228.9,299.06,1,0,0,0,0,0,1,0,0,0,0
49,name,210.57,0.19,222.48,4.92,1,0,0,0,0,0,1,0,0,0,0
50,name,102.83,373.94,103.84,388.08,1,0,0,0,0,0,1,0,0,0,0
51,name,141.31,93.07,142.36,104.76,1,0,0,0,0,0,1,0,0,0,0
52,name,90.25,430.89,94.32,441.57,1,0,0,0,0,0,1,0,0,0,0
53,name,180.39,487,182.25,488.15,1,0,0,0,0,0,1,0,0,0,0
54,name,80.79,130.28,95.62,143.11,1,0,0,0,0,0,1,0,0,0,0
55,name,65.77,447.22,70.85,448.25,1,0,0,0,0,0,1,0,0,0,0
56,name,220.63,70.26,223.01,71.34,1,0,0,0,0,0,1,0,0,0,0
57,name,40.53,220.48,54.3,226.41,1,0,0,0,0,0,1,0,0,0,0
58,name,200.65,420.11,201.89,421.19,1,0,0,0,0,0,1,0,0,0,0
59,name,140.6,350.12,152.25,351.25,1,0,0,0,0,0,1,0,0,0,0
60,name,159.77,129.08,160.77,130.61,1,0,0,0,0,0,1,0,0,0,0
61,name,72.56,477.14,82.27,484.39,1,0,0,0,0,0,1,0,0,0,0
62,name,180.43,0.95,191.68,4.36,1,0,0,0,0,0,1,0,0,0,0
63,name,153.71,209.22,154.78,212.91,1,0,0,0,0,0,1,0,0,0,0
64,name,73.23,60.61,79.25,63.65,1,0,0,0,0,0,1,0,0,0,0
65,name,0.46,190.65,10.75,193.36,1,0,0,0,0,0,1,0,0,0,0
66,name,55.66,218.17,56.66,223.78,1,0,0,0,0,0,1,0,0,0,0
67,name,0.41,260.83,1.55,266.09,1,0,0,0,0,0,1,0,0,0,0
