,tl_x,tl_y,br_x,br_y,type,time
0,17.00,283.51,22.00,288.51,1,0.25
1,40.63,40.74,61.34,80.79,0,8.294
2,220.54,120.07,231.07,121.07,0,0.105
3,220.57,100.54,225.96,101.54,0,0.054
4,244.84,217.06,252.92,229.56,0,1.01
5,66.42,89.33,76.49,93.15,0,0.385
6,235.83,204.35,237.37,207.70,0,0.052
7,304.23,16.50,310.51,19.44,0,0.185
8,210.19,210.49,223.60,211.75,0,0.169
9,30.28,190.69,34.66,193.02,0,0.102
10,276.64,53.92,285.09,63.42,0,0.803
11,51.82,123.64,54.47,137.18,0,0.359
12,250.15,30.27,251.47,36.37,0,0.081
13,269.77,248.10,273.06,254.56,0,0.213
14,212.17,198.75,213.21,203.08,0,0.045
15,270.56,46.26,276.86,48.51,0,0.142
16,30.08,230.22,41.47,231.53,0,0.149
17,150.54,160.53,151.54,163.91,0,0.034
18,224.06,188.66,226.74,192.20,0,0.095
19,127.01,287.51,128.02,288.75,0,0.013
20,135.67,0.00,139.18,2.11,0,0.074
21,60.90,210.10,64.12,223.16,0,0.421
22,50.33,130.45,51.72,132.24,0,0.025
23,192.48,63.99,193.58,78.88,0,0.164
24,142.96,38.50,154.14,39.77,0,0.142
25,14.21,249.05,22.38,250.60,0,0.127
26,100.67,80.07,109.42,81.19,0,0.098
27,267.65,49.95,269.94,55.13,0,0.119
28,102.98,282.60,111.30,287.10,0,0.374
29,249.13,64.54,258.04,67.17,0,0.234
30,289.50,38.12,290.91,48.84,0,0.151
31,63.04,163.63,68.53,176.37,0,0.699
32,250.20,120.34,254.44,133.42,0,0.555
33,217.48,133.08,220.79,134.35,0,0.042
34,138.61,245.21,141.17,248.09,0,0.074
35,232.60,51.27,244.83,52.36,0,0.133
36,0.53,290.41,6.28,299.68,0,0.533
37,67.58,200.38,74.84,205.01,0,0.336
38,310.22,40.53,316.78,41.80,0,0.083
39,214.35,26.95,215.41,33.75,0,0.072
40,99.65,0.00,112.24,14.82,0,1.866
41,64.89,81.01,77.53,82.82,0,0.229
42,120.84,200.09,122.69,201.98,0,0.035
43,245.86,204.43,254.58,210.56,0,0.535
44,290.25,110.08,298.64,111.10,0,0.086
45,210.23,20.46,212.08,21.77,0,0.024
46,180.34,150.06,182.46,163.68,0,0.289
47,125.15,169.12,126.61,181.25,0,0.177
48,260.85,120.70,268.59,131.34,0,0.824
49,68.41,191.17,75.15,194.39,0,0.217
50,143.82,106.70,147.39,110.11,0,0.122
51,175.98,287.51,185.41,292.39,0,0.46
52,150.63,230.35,152.24,242.84,0,0.201
53,27.19,89.84,30.41,103.91,0,0.453
54,100.45,250.72,102.01,251.77,0,0.016
55,294.11,190.40,296.04,191.84,0,0.028
56,176.92,258.18,179.63,271.54,0,0.362
57,240.29,60.68,241.79,67.03,0,0.095
58,287.93,271.25,292.75,283.29,0,0.58
59,150.87,280.73,165.04,289.28,0,1.212
60,265.97,73.74,276.88,74.74,0,0.109
61,229.63,194.16,230.92,196.50,0,0.03
62,10.08,240.95,11.38,241.95,0,0.013
63,147.96,62.67,149.87,70.08,0,0.142
64,175.15,23.35,179.43,31.18,0,0.335
65,230.82,90.36,233.21,104.82,0,0.346
66,105.41,199.75,107.69,200.76,0,0.023
67,69.67,221.56,71.34,233.49,0,0.199
68,283.07,104.51,284.08,105.78,0,0.013
69,94.15,194.48,97.32,196.35,0,0.059
70,228.73,213.77,232.83,215.70,0,0.079
71,20.55,233.03,23.54,245.82,0,0.382
72,141.28,0.00,146.45,1.90,0,0.098
73,123.27,0.00,124.31,5.71,0,0.059
74,74.66,172.98,77.96,175.60,0,0.086
75,197.06,91.22,206.65,92.73,0,0.145
76,247.15,46.13,258.78,58.60,0,1.45
77,59.04,96.40,68.36,108.90,0,1.165
78,227.42,105.44,229.51,106.66,0,0.025
79,76.16,105.62,77.18,106.78,0,0.012
80,155.42,165.70,157.57,173.02,0,0.157
81,121.11,151.35,123.55,161.60,0,0.25
82,184.66,111.28,192.96,113.05,0,0.147
83,182.85,117.73,192.48,131.74,0,1.349
84,252.04,72.26,253.67,73.31,0,0.017
85,193.02,131.73,196.55,133.16,0,0.05
86,290.94,190.51,293.80,193.62,0,0.089
87,180.73,140.31,185.53,149.73,0,0.452
88,166.04,0.00,167.12,8.47,0,0.091
89,216.42,89.19,217.42,90.50,0,0.013
90,231.16,150.99,238.72,155.03,0,0.305
91,254.05,190.27,260.94,194.71,0,0.306
92,130.74,190.17,140.16,194.60,0,0.417
93,57.27,188.75,61.22,197.56,0,0.348
94,252.99,81.07,255.68,89.91,0,0.238
95,61.30,243.10,62.37,244.94,0,0.02
96,194.25,70.45,200.75,74.22,0,0.245
97,35.57,175.03,50.08,176.03,0,0.145
98,277.77,34.51,282.15,40.39,0,0.258
99,217.38,36.42,226.78,48.92,0,1.175
100,310.00,74.00,313.29,75.08,0,0.036
