,Unnamed: 0,x,y,type,side,board,comp_idx
0,0,6.5,22.5,2,0,0,[0]
1,1,51.59,100.5,2,0,0,[1]
2,2,52.0662,82.6049,1,1,0,"[33, 47, 32, 88, 71, 98, 78, 89]"
3,3,31.23,90.695,0,0,0,"[2, 20, 97, 80, 25, 114, 38, 76, 18]"
4,4,8.20498,88.7657,0,0,0,"[21, 50, 10, 84, 57]"
5,5,9.43692,72.8419,0,0,0,"[3, 75, 94, 107, 11, 37, 63]"
6,6,4.0,47.46,0,0,0,"[36, 34]"
7,7,20.325,58.405,0,1,0,"[42, 61, 41, 82, 100, 58, 5, 59, 104, 73, 119, 77, 79, 109, 16, 117]"
8,8,34.975,56.265,0,0,0,"[24, 118]"
9,9,46.1062,49.055,0,1,0,"[87, 28, 43, 83, 13, 53, 22, 26, 40, 99, 56, 70, 110, 69, 102, 93, 92, 85, 74, 14, 64, 81]"
10,10,54.325,14.665,0,0,0,"[6, 51, 66, 48, 31, 23, 52, 55, 39, 17]"
11,11,40.24,13.38,0,0,0,"[91, 54, 49, 62, 27]"
12,12,23.895,19.105,0,1,0,"[35, 7, 106, 90, 103, 44, 46, 112, 108, 72, 60, 12, 96, 68, 30, 115, 45]"
13,13,16.4288,1.69,0,1,0,"[95, 8, 65, 105, 111, 101]"
14,14,2.08116,17.2699,0,1,0,"[9, 29, 15, 113, 4, 86, 19, 67, 116]"
