,name,tl_x,tl_y,br_x,br_y,type,center,side,board,offset_x,offset_y,time
0,top-left,4.00,20.00,9.00,25.00,2,1,0,0,0,0,0.25
1,bottom-right,49.09,98.00,54.09,103.00,2,1,0,0,0,0,0.25
2,Qqr7Pf,24.04,93.00,32.29,106.36,0,0,0,0,0,0,1.1022
3,0gVaV2,7.21,71.11,17.29,79.50,0,1,0,0,2.8130766353052206,2.463077612380925,0.845712
4,NCVd25,0.00,18.21,1.39,19.84,0,0,0,0,0,0,0.022656999999999997
5,JaiKpu,19.43,56.46,23.14,68.95,0,0,0,0,0,0,0.463379
6,MQPi4n,52.18,0.00,65.41,5.92,0,0,0,0,0,0,0.783216
7,qgLr58,26.81,0.00,35.90,1.56,0,0,0,0,0,0,0.141804
8,5JmEzQ,5.86,2.14,15.55,4.10,0,0,0,0,0,0,0.189924
9,emi4qD,0.00,9.69,1.06,14.29,0,0,1,0,0,0,0.04876
10,xl5jZ6,2.18,93.00,3.55,94.41,0,0,0,0,0,0,0.019317
11,Bcrg9d,0.00,62.84,6.94,77.46,0,0,0,0,0,0,1.014628
12,1SORuo,23.85,25.49,26.08,33.39,0,0,0,0,0,0,0.17617000000000002
13,DQ9wmX,50.63,65.87,59.74,67.92,0,0,0,0,0,0,0.18675499999999995
14,o7qdbj,41.07,45.04,43.20,47.17,0,0,0,0,0,0,0.04536899999999999
15,413ovS,0.00,6.84,4.12,8.03,0,0,0,0,0,0,0.049028
16,8BUAHF,31.55,48.55,34.09,49.94,0,0,0,0,0,0,0.035306
17,3dQ3cH,41.42,14.21,42.50,16.49,0,0,0,0,0,0,0.024624
18,041J52,30.11,74.88,41.58,80.75,0,0,0,0,0,0,0.673289
19,7eQ6vl,0.00,21.88,2.71,35.10,0,0,0,0,0,0,0.358262
20,WfzrHN,22.74,93.00,23.75,100.00,0,0,0,0,0,0,0.0707
21,GiDJ3Y,6.85,90.69,14.36,93.27,0,1,0,0,2.400016337190067,3.214264274134091,0.193758
22,1DJW1Q,45.70,32.84,47.87,45.30,0,0,0,0,0,0,0.270382
23,cV2zpz,52.69,14.19,55.83,16.89,0,0,0,0,0,0,0.08478000000000002
24,JaFyWb,29.55,60.33,40.46,70.99,0,0,0,0,0,0,1.163006
25,lUELgK,36.08,87.28,38.72,90.83,0,0,0,0,0,0,0.09372
26,m5Amov,54.09,41.10,55.81,42.46,0,0,0,0,0,0,0.023392
27,gC0DHD,39.12,25.51,44.77,26.76,0,0,0,0,0,0,0.070625
28,sAPgaz,40.16,53.28,41.18,57.60,0,0,1,0,0,0,0.044064000000000006
29,qE3WHj,0.00,0.00,1.21,4.58,0,0,0,0,0,0,0.055418
30,tDsFzJ,22.64,30.71,23.65,37.66,0,0,0,0,0,0,0.070195
31,TtGb3b,54.09,21.40,67.23,23.87,0,0,0,0,0,0,0.324558
32,TciKNr,47.52,93.00,49.07,96.98,0,0,0,0,0,0,0.06169
33,rE9Aqo,46.38,78.48,57.48,80.19,0,0,1,0,0,0,0.18980999999999998
34,v97OcX,5.19,53.51,8.00,56.31,0,0,0,0,0,0,0.07868
35,5cCXYY,18.36,17.10,29.43,19.85,0,0,1,0,0,0,0.304425
36,vWKsZl,0.00,38.61,5.81,52.18,0,0,0,0,0,0,0.788417
