,tl_x,tl_y,br_x,br_y,type,time
0,6.00,100.86,11.00,105.86,2,0.25
1,45.85,66.37,46.91,71.72,0,0.05671
2,122.59,74.74,123.91,80.26,0,0.072864
3,55.92,77.60,60.28,81.30,0,0.16132000000000002
4,65.28,86.25,67.09,89.67,0,0.061902
5,178.00,69.49,180.43,83.95,0,0.3513780000000001
6,133.63,105.86,141.82,109.26,0,0.27846
7,99.43,73.79,103.22,83.53,0,0.369146
8,68.47,95.12,75.51,104.76,0,0.678656
9,116.71,72.36,120.48,79.07,0,0.252967
10,117.41,100.94,124.04,115.22,0,0.946764
11,118.57,97.86,121.45,100.36,0,0.072
12,126.74,65.52,133.99,66.72,0,0.087
13,109.36,39.52,115.06,47.34,0,0.44574
14,144.27,4.13,153.94,9.20,0,0.49026900000000007
15,131.42,54.61,132.67,59.73,0,0.064
16,116.46,49.34,117.48,53.80,0,0.045492
17,90.23,28.15,91.62,40.09,0,0.16596599999999997
18,115.18,7.21,121.18,15.94,0,0.5238
19,29.40,105.13,37.43,106.29,0,0.09314799999999998
20,92.88,27.59,94.32,40.98,0,0.19281600000000002
21,151.88,96.05,161.50,97.56,0,0.145262
22,178.00,105.86,187.39,114.39,0,0.800967
23,51.55,96.95,60.82,108.62,0,1.081809
24,161.41,48.16,162.99,59.07,0,0.172378
25,108.79,90.14,110.92,93.23,0,0.065817
26,132.16,81.56,137.19,83.00,0,0.072432
27,109.07,68.40,111.76,78.82,0,0.280298
28,70.16,62.80,72.57,67.30,0,0.10845
29,82.40,85.74,86.53,88.19,0,0.10118500000000001
30,103.21,32.13,106.54,33.29,0,0.038628
31,170.41,30.30,171.57,31.36,0,0.012296
32,0.00,63.25,3.03,64.31,0,0.032118
33,79.44,80.44,82.35,87.82,0,0.214758
34,128.32,19.50,134.88,20.50,0,0.06559999999999999
35,98.31,66.84,103.00,73.46,0,0.31047800000000003
36,120.92,60.61,124.76,64.28,0,0.140928
37,136.41,90.05,137.44,93.12,0,0.031621
38,10.88,66.74,12.23,67.85,0,0.014985000000000002
39,155.20,105.86,156.90,116.69,0,0.18411000000000002
40,103.00,15.51,109.12,18.20,0,0.16462800000000002
41,169.05,76.70,176.82,85.05,0,0.6487949999999999
42,8.33,61.14,9.70,69.13,0,0.109463
43,9.35,47.88,10.61,60.19,0,0.155106
44,13.26,84.35,14.27,93.17,0,0.08908200000000001
45,175.24,94.01,181.56,96.63,0,0.16558400000000004
46,1.58,32.77,8.19,42.45,0,0.639848
47,15.88,56.92,22.82,70.03,0,0.909834
48,99.58,1.77,101.01,2.78,0,0.014443
49,105.03,28.63,106.11,30.97,0,0.025272000000000003
50,26.97,45.72,35.24,49.31,0,0.29689299999999996
51,30.55,80.11,34.34,82.14,0,0.07693699999999999
52,140.28,50.66,150.52,55.98,0,0.544768
53,133.82,98.95,134.98,100.92,0,0.022851999999999997
54,160.65,76.64,161.76,78.28,0,0.018204
55,0.97,22.63,2.18,29.02,0,0.077319
56,15.30,73.96,16.57,74.96,0,0.0127
57,48.08,100.37,49.83,111.05,0,0.18689999999999998
58,147.22,65.41,154.60,66.53,0,0.08265600000000001
59,44.18,105.86,47.98,106.93,0,0.04066
60,134.83,56.18,143.72,62.23,0,0.537845
61,22.66,29.75,30.03,35.04,0,0.38987299999999997
62,134.61,39.68,135.82,51.84,0,0.147136
63,89.64,78.03,92.73,87.32,0,0.28706099999999996
64,153.31,21.24,159.54,22.71,0,0.09158100000000001
65,162.77,24.90,164.88,29.06,0,0.08777599999999999
66,162.63,105.86,163.80,107.81,0,0.022815
67,10.80,23.32,14.32,24.80,0,0.052096
68,0.00,93.52,1.01,94.52,0,0.0101
69,16.62,50.31,17.68,56.18,0,0.062222000000000006
70,130.79,105.86,132.31,113.03,0,0.10898400000000001
71,93.09,0.00,98.97,3.47,0,0.204036
72,79.42,105.86,81.90,107.81,0,0.04836
73,137.83,99.27,143.96,103.49,0,0.25868599999999997
74,0.00,104.36,1.52,105.44,0,0.016416
75,0.00,88.38,7.51,91.93,0,0.266605
76,26.32,62.46,38.96,75.63,0,1.6646880000000002
77,72.73,81.13,73.93,90.49,0,0.11231999999999999
78,0.00,100.47,12.46,101.54,0,0.13332200000000002
79,123.68,86.09,137.01,87.18,0,0.145297
80,139.11,12.18,141.14,18.16,0,0.121394
81,68.64,50.57,76.44,51.81,0,0.09672
82,97.73,10.00,107.91,12.06,0,0.209708
83,28.40,101.32,36.55,104.05,0,0.222495
84,150.87,40.58,159.44,45.88,0,0.45421
85,0.00,51.10,3.21,55.36,0,0.136746
86,50.35,50.40,62.19,60.52,0,1.198208
87,73.00,60.93,86.92,61.94,0,0.140592
88,45.94,39.42,49.90,40.49,0,0.04237200000000001
89,0.00,76.27,1.28,81.43,0,0.066048
90,27.87,20.63,29.25,25.84,0,0.07189799999999999
91,40.33,60.87,42.84,65.56,0,0.117719
92,57.16,62.01,66.09,63.10,0,0.097337
93,46.49,87.17,57.89,89.12,0,0.2223
94,148.77,83.31,150.70,84.65,0,0.025862000000000003
95,7.25,105.86,14.31,110.33,0,0.315582
96,130.31,68.15,131.78,80.16,0,0.17654699999999998
97,13.72,54.55,15.31,59.69,0,0.081726
98,45.15,89.42,58.81,90.57,0,0.15709
99,33.77,84.76,35.49,93.01,0,0.1419
