,x,y,z,type,sub_type,side,board,step,big,array,array_idx,comp_idx
0,8.5,103.36,-1,7,0,0,0,1,0,1,"[0"],"[0"]
1,24.915,94.975,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[74, 95, 78, 224, 105, 169, 68, 168, 75, 138, 89, 44, 19, 83, 161, 173, 129, 57, 59, 56, 210, 99, 159, 218, 175, 51, 214, 137, 135, 106"]
2,24.73,60.88,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[85, 32, 43, 42, 191, 38, 47, 69, 97, 76, 156, 140, 160, 198, 111, 151, 209, 1, 91, 134"]
3,24.95,24.8,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[227, 177, 211, 195, 55, 103, 67, 46, 171, 90, 225, 61, 188, 118, 50, 113, 88"]
4,74.75,54.745,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[86, 133, 155, 147, 102, 203, 92, 194, 81, 193, 28, 216, 145, 87, 185, 108, 124, 166"]
5,67.54,92.805,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[23, 116, 98, 93, 8, 221, 123, 72, 3, 4, 131, 77, 130, 217, 204, 196, 33, 29"]
6,111.815,82.405,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[96, 142, 2, 25, 182, 200, 12, 9, 120, 63, 27, 36, 127, 7, 35, 170, 101, 186, 212"]
7,122.315,99.49,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[6, 73, 223, 70, 10, 122, 53, 37, 79, 11, 26, 104, 125, 174, 112, 167"]
8,164.005,96.545,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[22, 201, 119, 45, 207, 184, 39, 213, 66, 153, 219, 41, 21, 144, 154, 54, 94, 149, 146"]
9,156.13,61.815,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[5, 222, 107, 178, 24, 197, 132, 136, 141, 162, 100, 206, 58, 52, 62, 128, 60, 172, 152, 15"]
10,147.595,24.055,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[190, 14, 192, 31, 65, 163, 64, 148, 215, 80, 157, 176, 158, 84, 34, 143, 117, 165, 199, 183, 179"]
11,119.935,53.72,-1,0,0,0,0,0,0,1,"[0, 0, 0"],"[121, 16, 180"]
12,98.295,23.67,-1,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"],"[220, 164, 110, 18, 139, 109, 71, 48, 82, 187, 40, 126, 208, 226, 150, 115, 49, 205, 13, 17, 30, 114, 20, 189, 202, 181"]
