,Unnamed: 0,x,y,type,side,board,comp_idx
0,0,12.5,9.5,2,0,0,[0]
1,1,11.405,11.085,0,0,0,"[69, 264, 64, 134]"
2,2,22.34,43.325,0,0,0,"[170, 28, 55, 171]"
3,3,58.415,77.635,0,0,0,"[184, 138, 203, 84, 73]"
4,4,77.295,48.435,0,0,0,"[215, 111, 206, 263, 252, 107]"
5,5,106.255,53.46,0,0,0,"[249, 196, 101, 235]"
6,6,112.685,18.81,0,0,0,"[211, 257, 1, 259]"
7,7,78.7,14.41,0,0,0,"[199, 241, 78, 104, 15, 165]"
8,8,142.835,18.355,0,0,0,"[60, 29, 214, 200, 269, 156]"
9,9,162.175,28.315,0,0,0,"[31, 154, 258]"
10,10,195.94,17.065,0,0,0,"[72, 112, 233]"
11,11,222.71,49.72,0,0,0,"[34, 146, 117]"
12,12,245.77,49.72,0,0,0,"[34, 59, 47, 162]"
13,13,237.17,29.655,0,0,0,"[243, 90, 44, 183]"
14,14,251.335,7.02499,0,0,0,"[273, 7, 275]"
15,15,278.675,19.94,0,0,0,"[188, 12, 13, 23, 105, 65, 219, 169]"
16,16,312.133,19.94,0,0,0,"[188, 268, 244, 57, 197]"
17,17,344.9,18.04,0,0,0,"[91, 143, 175]"
18,18,367.035,37.345,0,0,0,"[35, 240, 14, 256]"
19,19,327.2,46.96,0,0,0,"[142, 123, 185, 109, 152]"
20,20,285.68,59.11,0,0,0,"[192, 176, 164, 22, 189, 151]"
21,21,268.02,86.09,0,0,0,"[205, 50, 53, 20]"
22,22,295.965,99.58,0,0,0,"[4, 178, 6, 150, 216]"
23,23,327.25,87.955,0,0,0,"[135, 225, 182]"
24,24,371.01,94.655,0,0,0,"[125, 70, 160]"
25,25,335.715,125.565,0,0,0,"[18, 187, 179, 141, 173, 93]"
26,26,360.18,147.785,0,0,0,"[274, 212, 262, 158, 137, 159]"
27,27,365.115,191.18,0,0,0,"[95, 24, 10]"
28,28,362.195,217.38,0,0,0,"[63, 120, 133, 181, 261]"
29,29,308.335,227.465,0,0,0,"[213, 157, 132, 251, 115, 62, 194]"
30,30,286.455,196.51,0,0,0,"[255, 174, 97, 122, 148]"
31,31,257.915,186.14,0,0,0,"[17, 56, 271, 201]"
32,32,247.695,238.15,0,0,0,"[253, 32, 110, 136]"
33,33,215.205,235.875,0,0,0,"[223, 153, 144, 277, 11]"
34,34,197.33,227.57,0,0,0,"[272, 58, 140, 224, 230, 186]"
35,35,205.96,201.215,0,0,0,"[77, 82, 128]"
36,36,218.75,166.945,0,0,0,"[167, 129, 25, 42]"
37,37,196.215,149.785,0,0,0,"[266, 98, 45]"
38,38,231.895,129.485,0,0,0,"[108, 80, 155, 26, 19, 237]"
39,39,265.765,150.91,0,0,0,"[232, 3, 30, 222]"
40,40,276.7,124.125,0,0,0,"[87, 149]"
41,41,307.56,137.785,0,0,0,"[270, 48, 267]"
42,42,226.305,87.815,0,0,0,"[242, 121, 265, 38]"
43,43,205.655,97.9,0,0,0,"[229, 106]"
44,44,182.455,72.81,0,0,0,"[61, 96, 51]"
45,45,172.21,101.24,0,0,0,"[33, 71, 246, 79]"
46,46,143.39,62.025,0,0,0,"[126, 204]"
47,47,126.55,88.055,0,0,0,"[86, 76, 116, 139]"
48,48,97.93,99.9,0,0,0,"[276, 217, 220, 130, 9]"
49,49,106.295,119.93,0,0,0,"[145, 231, 5]"
50,50,127.885,128.045,0,0,0,"[218, 127]"
51,51,149.305,139.815,0,0,0,"[113, 260, 226, 83, 238]"
52,52,163.25,168.36,0,0,0,[89]
53,53,166.41,197.045,0,0,0,"[100, 88, 37, 52, 250]"
54,54,151.83,230.95,0,0,0,"[2, 209]"
55,55,111.52,230.505,0,0,0,"[161, 41, 67]"
56,56,77.91,229.475,0,0,0,"[46, 36, 43, 94, 234, 114, 103]"
57,57,107.455,201.525,0,0,0,"[68, 49, 239, 39, 81]"
58,58,109.26,176.915,0,0,0,"[254, 227, 207, 119]"
59,59,94.3725,156.805,0,0,0,"[147, 131]"
60,60,67.5375,156.805,0,0,0,"[147, 16, 245]"
61,61,58.635,125.945,0,0,0,"[228, 66, 208, 247, 221]"
62,62,17.48,106.095,0,0,0,"[54, 92, 118, 202, 180]"
63,63,14.325,146.91,0,0,0,"[102, 163, 74, 168]"
64,64,13.825,187.4,0,0,0,"[85, 21, 75, 27, 193, 191]"
65,65,54.94,188.485,0,0,0,"[124, 190, 210, 177, 172, 248]"
66,66,26.685,229.285,0,0,0,"[40, 236, 99, 195, 166, 8, 198]"
