,x,y,type,side,board,comp_idx
0,21.5,233.5,1,0,0,[0]
1,28.965,217.325,0,0,0,"[103, 81, 31, 148, 342, 295, 121, 275, 388, 125, 232, 230, 281, 322, 351, 205, 294, 136, 233]"
2,29.585,155.25,0,0,0,"[256, 382, 301, 173, 379, 7, 303, 64, 107, 215, 220, 110, 266, 358, 61, 15, 274, 211, 38, 332, 235, 176, 141, 224, 318, 5, 299, 37, 199, 6, 63, 56]"
3,28.96,121.145,0,0,0,"[237, 160, 18, 35, 165, 286, 189, 280, 227, 126, 270]"
4,29.43,86.57,0,0,0,"[99, 169, 145, 171, 362, 216, 352, 383, 174, 147, 325, 308, 135, 111, 12, 370, 123, 91, 272, 340, 98, 279, 311, 193, 118, 223, 4, 315, 41, 54, 329, 251, 17, 149, 46, 97, 241, 209, 254]"
5,29.36,29.77,0,0,0,"[162, 218, 105, 114, 29, 62, 338, 130, 65, 178, 166, 25, 377, 207, 302, 225, 106, 20, 146, 68, 89, 42, 177, 23, 309, 55, 122, 45, 153, 188, 327, 234, 36, 191, 201, 258, 238, 316, 380, 328, 365]"
6,81.855,27.265,0,0,0,"[69, 206, 353, 156, 196, 22, 48, 134, 255, 364, 387, 202, 83, 269, 116]"
7,139.765,26.24,0,0,0,"[86, 324, 250, 52, 376, 381, 133, 361, 157, 184, 346, 248, 101, 271, 70]"
8,137.995,51.93,0,0,0,"[104, 2, 355, 85, 84, 317, 344, 210, 75, 194, 49, 100, 282, 11, 19, 154, 277, 113, 139, 195, 33, 252, 336]"
9,135.34,100.285,0,0,0,"[375, 71, 164, 175, 14, 296, 1, 93, 242, 73, 297, 180, 219, 51, 197, 288, 360, 290, 82, 378, 304, 27, 298, 167, 208, 88, 310, 129, 200, 276, 92, 267, 143, 320]"
10,142.375,136.645,0,0,0,"[292, 131, 228, 94, 117, 313, 347]"
11,142.465,172.62,0,0,0,"[95, 323, 349, 333, 3, 137, 214, 261, 306, 187, 132, 264, 221, 307, 385, 363, 244, 257, 305, 330, 138, 163, 87, 39, 190, 319, 76]"
12,134.145,218.83,0,0,0,"[21, 326, 158, 357, 108, 152, 334, 13, 247, 127, 192, 337, 284, 341, 16, 283, 278, 335, 183, 373, 312, 213, 186, 150, 140, 28, 109, 265, 300, 239, 96, 366, 74, 359, 181, 34]"
13,85.67,218.64,0,0,0,"[260, 350, 371, 285, 314, 155, 60, 339, 179, 367, 384, 26, 10, 287, 368, 268, 243, 40]"
14,86.905,165.01,0,0,0,"[354, 58, 345, 372, 90, 30, 43, 185, 67, 263, 289, 386, 348, 172, 47, 262, 246, 245, 128, 212, 79, 222, 321, 72, 120, 293, 57, 144, 142, 151, 77, 229]"
15,86.765,120.525,0,0,0,"[124, 356, 259, 59, 44, 170, 374, 182, 240, 231, 253, 203, 112, 168, 226]"
16,85.14,80.295,0,0,0,"[204, 80, 102, 9, 50, 32, 369, 53, 119, 217, 159, 249, 291, 331, 8, 198, 78, 115, 161, 24, 66, 236, 273, 343]"
