,x,y,type,side,board,comp_idx
0,152.9,19.5,1,0,0,[0]
1,133.275,19.505,0,0,0,"[98, 260, 281, 30, 246, 275, 146, 61, 207, 231, 70, 298, 37, 168, 308, 127, 309, 27]"
2,129.195,54.97,0,0,0,"[282, 199, 201, 14, 131, 251, 136, 181, 84, 3, 293, 261, 210, 83, 259, 117, 95]"
3,131.815,87.005,0,0,0,"[93, 292, 217, 51, 240, 322]"
4,120.44,114.71,0,0,0,"[347, 345, 63]"
5,121.855,139.495,0,0,0,"[90, 145, 108, 134, 10, 178, 76, 338, 341, 294, 116, 12]"
6,127.02,147.745,0,0,0,"[43, 236, 211, 23, 329, 249, 342, 258, 161, 123, 22, 24, 367]"
7,136.475,178.79,0,0,0,"[9, 208, 176, 104, 206, 71, 301, 216, 138, 100, 245, 101, 264, 290, 79]"
8,135.675,219.525,0,0,0,"[215, 364, 278, 295, 257, 111, 219, 212, 124, 64, 150, 332]"
9,94.785,213.5,0,0,0,"[183, 274, 118, 288, 276, 328, 306, 182, 279, 166, 50, 126]"
10,72.14,218.71,0,0,0,"[57, 337, 125]"
11,50.0,219.255,0,0,0,"[16, 8, 77, 25, 221, 319, 133, 110, 33, 1, 227, 152]"
12,18.795,222.23,0,0,0,"[55, 173, 335, 169, 262, 39, 106, 177, 266, 40, 353, 365, 321, 85, 49, 241, 26, 195, 340, 68, 237]"
13,18.5,188.025,0,0,0,"[284, 358, 254, 44, 351, 285, 31, 302, 327, 163]"
14,57.68,183.725,0,0,0,"[349, 19, 38, 256, 192, 113, 317, 283, 339, 69, 7, 119, 194, 307, 18, 81, 189, 21, 196, 87]"
15,97.13,179.96,0,0,0,"[187, 59, 333, 86, 46, 89, 226, 323, 41, 305, 72]"
16,87.72,140.62,0,0,0,"[361, 213, 142, 78, 315, 252, 107, 4, 198, 296, 160, 248]"
17,80.89,109.0,0,0,0,"[247, 359, 233, 103]"
18,59.53,115.605,0,0,0,"[158, 220, 65, 239, 354, 153, 255]"
19,52.815,148.005,0,0,0,"[137, 277, 223, 234, 355, 165, 228, 348, 60, 205]"
20,17.605,147.905,0,0,0,"[129, 357, 300, 184, 42, 336, 130, 270, 2, 47, 149, 238, 34, 242, 147, 141]"
21,19.875,118.205,0,0,0,"[122, 91, 297, 218, 58, 330, 253, 334, 311]"
22,17.42,95.625,0,0,0,"[209, 214, 135, 325, 154, 331, 148, 243, 313, 190]"
23,46.245,93.33,0,0,0,"[15, 244, 202, 120, 156, 185]"
24,57.425,64.05,0,0,0,"[235, 200, 164, 204, 102, 310, 271, 13, 267, 299, 229]"
25,18.545,60.155,0,0,0,"[162, 151, 265, 188, 366, 36, 99, 179, 232, 230, 363, 167, 250, 155, 29, 92, 17, 350, 224, 35, 193]"
26,19.975,19.89,0,0,0,"[115, 289, 197, 53, 139, 105, 287, 52, 222, 356, 132, 352, 326]"
27,58.0,18.365,0,0,0,"[346, 56, 303, 109, 67, 159, 143, 75, 80, 225, 360, 121, 97, 73, 273, 314, 45, 269, 268, 144, 286, 112]"
28,96.975,16.89,0,0,0,"[48, 88, 186, 11, 96, 170, 172, 66, 291, 320, 54, 280, 62, 114, 32, 128, 140, 74, 6, 344, 174, 263]"
29,90.555,49.36,0,0,0,"[20, 343, 82, 157, 28, 316, 324, 180, 304, 312]"
30,95.345,82.78,0,0,0,"[5, 191, 94, 272, 203, 318, 171, 362, 175]"
